,grande,pronto,blanco,triste,frente,blanca,llendo,fresca,fresco,cristo,brinco,presto,brilla,granbe,granja,brillo,crande,trarde,gronde,prendo,xvicky,llanna,byanka,vlanco,dlanca,granga,llallo,cricri,brinca,brenda,lluvya,crello,charco,tronco,chillo,cripta,flecha,plasma,llanto,rralla,Total
Ceele_1,0.010676156583629894,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014234875444839857
Ceele_2,0.021352313167259787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021352313167259787
Ceele_3,0.06405693950177936,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0711743772241993
Ceele_4,0.13523131672597866,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16370106761565836
Ceele_5,0.046263345195729534,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05693950177935943
Ceele_6,0.05338078291814947,0.0035587188612099642,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07473309608540925
Ceele_7,0.15658362989323843,0.0071174377224199285,0.0071174377224199285,0.0,0.0,0.0071174377224199285,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099644128113879
cuentos_1,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.021352313167259787
cuentos_2,0.0,0.010676156583629894,0.021352313167259787,0.0,0.0035587188612099642,0.0071174377224199285,0.0,0.0035587188612099642,0.0,0.010676156583629894,0.0,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0711743772241993
cuentos_3,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.010676156583629894
