,que,muy,soy,fue,dia,hay,vio,pie,voy,dio,nay,boy,soi,mui,rio,bio,hai,leo,boi,sea,qui,tia,veo,rey,tio,mia,hoy,feo,doy,cay,mie,via,toy,cai,pio,mio,lio,bie,tai,cae,say,doi,bia,voi,luy,loa,beo,cei,zea,yaa,rai,tue,fui,cua,pay,tua,noe,lee,jue,suy,vea,ley,you,bue,lui,dei,vii,hio,sue,toi,gue,Total
Ceele_1,12,4,12,0,0,7,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0
Ceele_2,37,7,29,0,0,5,0,5,4,0,3,5,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
Ceele_3,54,18,59,0,0,15,0,12,5,0,3,6,1,1,1,0,0,3,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188.0
Ceele_4,116,32,79,2,1,25,0,15,9,1,9,5,6,0,0,0,2,2,2,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,316.0
Ceele_5,51,12,36,0,0,11,0,6,7,0,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0
Ceele_6,39,12,51,0,0,1,0,6,4,1,3,1,3,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0
Ceele_7,124,33,94,0,2,21,0,22,4,1,11,8,9,5,1,1,5,4,6,0,4,5,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,2,1,0,2,2,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.0
cuentos_1,86,9,3,0,2,2,1,0,3,2,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
cuentos_2,86,4,0,1,6,7,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,111.0
cuentos_3,76,3,3,4,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0
