,lluvioso,chiquita,chiquito,llovioso,flaquita,plateado,briseida,chaqueta,travieso,lloviera,llubioso,tsocuela,chaquira,gradoano,presiosa,llamoalo,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
Ceele_5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Ceele_6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4.0
Ceele_7,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,6.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
excale_4,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.0
excale_5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
excale_6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0
excale_7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Total,23.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0
