,ay,ai,ia,io,ee,ua,oo,ae,oa,ui,oi,aa,uy,eo,iy,oy,Total
Ceele_1,0.01929260450160772,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022508038585209004
Ceele_2,0.03536977491961415,0.00964630225080386,0.0,0.0,0.003215434083601286,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144694533762058
Ceele_3,0.05466237942122187,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.06430868167202572
Ceele_4,0.19935691318327975,0.05787781350482315,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.26366559485530544
Ceele_5,0.05466237942122187,0.006430868167202572,0.0,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06430868167202572
Ceele_6,0.06430868167202572,0.05144694533762058,0.0,0.0,0.0,0.0,0.0,0.006430868167202572,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.12540192926045016
Ceele_7,0.31189710610932475,0.08360128617363344,0.0,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.0,0.0,0.0,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.0,0.40836012861736337
cuentos_1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.38095238095238093,0.42857142857142855,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625
excale_5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,1.209787934466391,0.9649555963864646,0.5535714285714286,0.17261904761904762,0.006430868167202572,0.006430868167202572,0.006430868167202572,0.006430868167202572,0.006430868167202572,0.047619047619047616,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,3.0
