,el,en,un,es,al,ir,am,or,as,an,in,ol,ah,ul,em,ap,om,on,ac,eh,ot,oh,av,os,ys,ad,im,er,yr,ab,Total
Ceele_1,0.006175380815150268,0.015644298065047343,0.002881844380403458,0.007410456978180321,0.002470152326060107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345821325648415
Ceele_2,0.01029230135858378,0.0354055166735282,0.004528612597776863,0.0177027583367641,0.004528612597776863,0.0004116920543433512,0.0008233841086867024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.07410456978180321
Ceele_3,0.01729106628242075,0.054343351173322355,0.01070399341292713,0.03417044051049815,0.006587072869493619,0.0004116920543433512,0.0012350761630300535,0.0,0.0,0.0,0.0004116920543433512,0.0004116920543433512,0.0,0.0,0.0,0.0004116920543433512,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004116920543433512,0.12680115273775217
Ceele_4,0.03993412927130506,0.10292301358583779,0.01729106628242075,0.06340057636887608,0.013174145738987238,0.0008233841086867024,0.0,0.0,0.0,0.0004116920543433512,0.0,0.0004116920543433512,0.0,0.0004116920543433512,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004116920543433512,0.0,0.2396047756278304
Ceele_5,0.016055990119390694,0.051461506792918894,0.004528612597776863,0.02799505969534788,0.004116920543433511,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10456978180321119
Ceele_6,0.015232606010703994,0.05351996706463565,0.007822149032523672,0.03046521202140799,0.006587072869493619,0.0,0.0012350761630300535,0.0,0.0,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004116920543433512,0.0,0.0004116920543433512,0.0,0.0,0.0,0.11609715932482503
Ceele_7,0.04158089748867847,0.13585837793330588,0.027583367641004528,0.08110333470564018,0.013585837793330589,0.0004116920543433512,0.0004116920543433512,0.0012350761630300535,0.0,0.0,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0004116920543433512,0.0004116920543433512,0.0004116920543433512,0.0004116920543433512,0.0,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3042404281597365
cuentos_1,0.04372019077901431,0.03179650238473768,0.022257551669316374,0.01987281399046105,0.016693163751987282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514
cuentos_2,0.05564387917329094,0.04133545310015898,0.021462639109697933,0.018282988871224166,0.01589825119236884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000794912559618442,0.0,0.0,0.0,0.0,0.15421303656597773
cuentos_3,0.06200317965023847,0.03418124006359301,0.034976152623211444,0.0047694753577106515,0.006359300476947536,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14308426073131955
cuentos_4,0.05643879173290938,0.03656597774244833,0.02702702702702703,0.00794912559618442,0.012718600953895072,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14149443561208266
cuentos_5,0.05087440381558029,0.06200317965023847,0.019077901430842606,0.00794912559618442,0.011128775834658187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151033386327504
cuentos_6,0.04848966613672496,0.05643879173290938,0.022257551669316374,0.010333863275039745,0.01589825119236884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15421303656597773
cuentos_7,0.054848966613672494,0.031001589825119236,0.02384737678855326,0.000794912559618442,0.009538950715421303,0.0,0.0,0.0,0.000794912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12082670906200318
excale_1,0.021823472356935016,0.011639185257032008,0.01697381183317168,0.0,0.004849660523763337,0.0009699321047526673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625606207565471
