,trabajamos,platicamos,trabagamos,travajamos,trobajamos,tradajamos,preliminar,tvabodamos,travagamos,llevaderos,trabesuras,produjeron,crucificar,brevisimos,psicologos,criminales,tradajomos,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.05063291139240506,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633
Ceele_3,0.11392405063291139,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16455696202531644
Ceele_4,0.189873417721519,0.02531645569620253,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.25316455696202533
Ceele_5,0.08860759493670886,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13924050632911392
Ceele_6,0.10126582278481013,0.012658227848101266,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13924050632911392
Ceele_7,0.13924050632911392,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.24050632911392406
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.375
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,0.6835443037974683,0.11392405063291139,0.05063291139240506,0.05063291139240506,0.02531645569620253,0.02531645569620253,0.25,0.012658227848101266,0.012658227848101266,0.125,0.012658227848101266,0.125,0.125,0.125,0.125,0.125,0.012658227848101266,2.0
