,estrella,instante,enfrente,obstante,estricta,estrecha,aldvenda,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
cuentos_2,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.11764705882352941
cuentos_3,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705
cuentos_4,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705
cuentos_5,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705
cuentos_6,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941
cuentos_7,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.6470588235294118,0.5176470588235293,1.1,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.5,3.0
