,agua,aqui,abia,avia,aseo,asia,urai,aria,adio,aceo,acia,iria,osea,area,etoy,idea,ugua,ogua,apie,aque,yrie,oqui,aguo,odio,Total
Ceele_1,0.0033444816053511705,0.0033444816053511705,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010033444816053512
Ceele_2,0.033444816053511704,0.013377926421404682,0.0,0.0,0.006688963210702341,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.06020066889632107
Ceele_3,0.033444816053511704,0.0033444816053511705,0.0,0.0,0.010033444816053512,0.0,0.010033444816053512,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06020066889632107
Ceele_4,0.07023411371237458,0.05351170568561873,0.0,0.0,0.006688963210702341,0.0,0.0,0.0,0.0033444816053511705,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.1505016722408027
Ceele_5,0.04013377926421405,0.013377926421404682,0.0,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.06688963210702341
Ceele_6,0.043478260869565216,0.023411371237458192,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.07357859531772576
Ceele_7,0.10702341137123746,0.10033444816053512,0.0,0.0,0.010033444816053512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.22073578595317725
cuentos_1,0.033444816053511704,0.010033444816053512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
cuentos_2,0.006688963210702341,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013377926421404682
cuentos_3,0.006688963210702341,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.016722408026755852
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006688963210702341
cuentos_6,0.010033444816053512,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013377926421404682
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705
excale_2,0.0033444816053511705,0.0,0.016722408026755852,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030100334448160536
excale_3,0.006688963210702341,0.0033444816053511705,0.013377926421404682,0.013377926421404682,0.0,0.013377926421404682,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056856187290969896
excale_4,0.023411371237458192,0.0,0.026755852842809364,0.020066889632107024,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802675585284281
excale_5,0.006688963210702341,0.0033444816053511705,0.013377926421404682,0.006688963210702341,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03678929765886288
excale_6,0.010033444816053512,0.0033444816053511705,0.010033444816053512,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030100334448160536
excale_7,0.006688963210702341,0.0,0.006688963210702341,0.0033444816053511705,0.0,0.010033444816053512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026755852842809364
Total,0.44481605351170567,0.2508361204013378,0.08695652173913043,0.056856187290969896,0.046822742474916385,0.033444816053511704,0.010033444816053512,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,1.0
