,estrella,instante,enfrente,obstante,estricta,estrecha,aldvenda,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
cuentos_2,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
cuentos_3,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664
cuentos_4,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664
cuentos_5,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664
cuentos_6,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333
cuentos_7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.125
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.4583333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0
