,trabajamos,platicamos,trabagamos,travajamos,trobajamos,tradajamos,preliminar,tvabodamos,travagamos,llevaderos,trabesuras,produjeron,crucificar,brevisimos,psicologos,criminales,tradajomos,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
Ceele_3,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
Ceele_4,15,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,20.0
Ceele_5,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
Ceele_6,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
Ceele_7,11,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,19.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3.0
cuentos_5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,4.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,54.0,9.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.0
