,aires,aulas,oidos,aaron,autor,autos,ayres,Total
Ceele_1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.2727272727272727
Ceele_4,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
Ceele_6,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
Ceele_7,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.2727272727272727
cuentos_1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
excale_3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
excale_4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,1.1818181818181817,0.5454545454545454,0.5,0.18181818181818182,0.25,0.25,0.09090909090909091,3.0000000000000004
