,cuadernos,realistas,realismos,diamantes,vailables,cuadarnos,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
Ceele_3,0.1111111111111111,0.0,0.0,0.0,0.0,0.037037037037037035,0.14814814814814814
Ceele_4,0.18518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.2222222222222222
Ceele_5,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.07407407407407407
Ceele_6,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.14814814814814814
Ceele_7,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.37037037037037035
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
excale_1,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0.0
Total,0.9259259259259259,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.037037037037037035,0.037037037037037035,1.9999999999999998
