,una,era,iba,iva,asi,uno,ano,ola,eso,oro,ese,ora,esa,ago,asu,ala,ase,iso,ahi,uso,ido,ise,are,yse,ubo,oye,ule,ace,alo,ana,oli,ysu,aca,eta,ami,ama,ira,yba,ata,amo,aro,eco,ayi,unu,ali,ife,ele,axi,oja,ojo,ela,yso,ygo,abi,ero,eha,ura,ovo,ale,ena,eya,eje,ave,usa,ayu,oya,oyo,eba,yha,ati,ina,aya,ere,Total
Ceele_1,0.0007142857142857143,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0007142857142857143,0.0014285714285714286,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004285714285714286
Ceele_2,0.008571428571428572,0.0,0.0,0.0,0.0,0.004285714285714286,0.002857142857142857,0.0,0.0,0.0007142857142857143,0.0,0.0014285714285714286,0.0,0.0007142857142857143,0.0,0.0,0.0014285714285714286,0.0007142857142857143,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023571428571428573
Ceele_3,0.017857142857142856,0.0,0.0007142857142857143,0.0,0.002142857142857143,0.0,0.005714285714285714,0.002142857142857143,0.0007142857142857143,0.002142857142857143,0.0,0.002142857142857143,0.0,0.002142857142857143,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286
Ceele_4,0.04,0.0,0.0,0.0,0.0007142857142857143,0.004285714285714286,0.0035714285714285713,0.0035714285714285713,0.0007142857142857143,0.0035714285714285713,0.0007142857142857143,0.002142857142857143,0.0,0.0035714285714285713,0.0,0.0,0.002142857142857143,0.0014285714285714286,0.0,0.002142857142857143,0.0,0.0,0.002142857142857143,0.0,0.0,0.0,0.0,0.0014285714285714286,0.0014285714285714286,0.0007142857142857143,0.0007142857142857143,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07857142857142857
Ceele_5,0.012142857142857143,0.0,0.0,0.0,0.0007142857142857143,0.0014285714285714286,0.0014285714285714286,0.002142857142857143,0.0,0.002857142857142857,0.0,0.0035714285714285713,0.0007142857142857143,0.002142857142857143,0.0,0.0,0.0014285714285714286,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032857142857142856
Ceele_6,0.017142857142857144,0.0,0.0,0.0,0.002142857142857143,0.0,0.0035714285714285713,0.0014285714285714286,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027857142857142858
Ceele_7,0.06,0.0,0.0,0.0,0.002857142857142857,0.0035714285714285713,0.0064285714285714285,0.009285714285714286,0.002142857142857143,0.007857142857142858,0.0,0.0035714285714285713,0.0,0.002857142857142857,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0007142857142857143,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11142857142857143
cuentos_1,0.009285714285714286,0.0,0.0,0.0,0.0,0.004285714285714286,0.0,0.0,0.0007142857142857143,0.0,0.002142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143
cuentos_2,0.020714285714285713,0.0,0.0014285714285714286,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027142857142857142
cuentos_3,0.017142857142857144,0.007142857142857143,0.0007142857142857143,0.0,0.0014285714285714286,0.0035714285714285713,0.0,0.0014285714285714286,0.0007142857142857143,0.0007142857142857143,0.0007142857142857143,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.03785714285714286
