,lloviendo,llobiendo,lluviendo,creciente,propuesta,creciendo,llubiendo,trapearla,Total
Ceele_1,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,0,0,0,0,0.0
Ceele_4,0,0,0,0,0,0,0,1,1.0
Ceele_5,0,0,0,0,0,0,0,0,0.0
Ceele_6,0,0,0,0,0,0,0,0,0.0
Ceele_7,0,0,0,0,0,0,0,0,0.0
cuentos_1,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,1,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,0,0,0,0.0
cuentos_5,0,0,0,1,1,0,0,0,2.0
cuentos_6,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0.0
excale_1,5,1,0,0,0,0,0,0,6.0
excale_2,21,2,0,0,0,0,0,0,23.0
excale_3,26,3,4,0,0,0,0,0,33.0
excale_4,30,5,3,0,0,0,1,0,39.0
excale_5,9,1,1,0,0,0,0,0,11.0
excale_6,5,1,0,0,0,0,0,0,6.0
excale_7,9,1,0,0,0,0,0,0,10.0
Total,105.0,14.0,8.0,1.0,1.0,1.0,1.0,1.0,132.0
