,biblioteca,terciopelo,persuadido,vivlioteca,bidrioteca,Total
Ceele_1,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464
Ceele_2,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464
Ceele_3,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385
Ceele_4,0.23076923076923078,0.0,0.0,0.038461538461538464,0.0,0.2692307692307692
Ceele_5,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385
Ceele_6,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693
Ceele_7,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693
cuentos_5,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.8076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0
