,biblioteca,terciopelo,persuadido,vivlioteca,bidrioteca,Total
Ceele_1,1,0,0,0,0,1.0
Ceele_2,1,0,0,0,0,1.0
Ceele_3,4,0,0,0,0,4.0
Ceele_4,6,0,0,1,0,7.0
Ceele_5,4,0,0,0,0,4.0
Ceele_6,1,0,0,0,1,2.0
Ceele_7,4,0,0,0,0,4.0
cuentos_1,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0.0
cuentos_4,0,2,0,0,0,2.0
cuentos_5,0,0,1,0,0,1.0
cuentos_6,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0.0
Total,21.0,2.0,1.0,1.0,1.0,26.0
