,siguio,seguia,poseia,seveia,hijooo,requeo,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.4,0.0,0.0,0.0,0.0,0.0,0.4
cuentos_3,0.0,0.2,0.2,0.0,0.0,0.0,0.4
cuentos_4,0.0,0.2,0.0,0.0,0.0,0.0,0.2
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664
excale_2,0.20833333333333334,0.0,0.0,0.0,0.041666666666666664,0.0,0.25
excale_3,0.041666666666666664,0.125,0.0,0.0,0.0,0.0,0.16666666666666666
excale_4,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333
excale_5,0.16666666666666666,0.16666666666666666,0.0,0.041666666666666664,0.0,0.0,0.375
excale_6,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
excale_7,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664
Total,0.8999999999999999,0.8166666666666665,0.2,0.041666666666666664,0.041666666666666664,1.0,2.9999999999999996
