,que,muy,soy,fue,dia,hay,vio,pie,voy,dio,nay,boy,soi,mui,rio,bio,hai,leo,boi,sea,qui,tia,veo,rey,tio,mia,hoy,feo,doy,cay,mie,via,toy,cai,pio,mio,lio,bie,tai,cae,say,doi,bia,voi,luy,loa,beo,cei,zea,yaa,rai,tue,fui,cua,pay,tua,noe,lee,jue,suy,vea,ley,you,bue,lui,dei,vii,hio,sue,toi,gue,Total
cuentos_6,0.02530120481927711,0.00030120481927710846,0.0,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028313253012048192
cuentos_7,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.01536144578313253
excale_1,0.008132530120481927,0.0018072289156626507,0.0,0.0024096385542168677,0.0015060240963855422,0.0,0.0033132530120481927,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018373493975903616
excale_2,0.03313253012048193,0.012349397590361445,0.0,0.009939759036144578,0.0069277108433734936,0.0012048192771084338,0.00391566265060241,0.0,0.0012048192771084338,0.0018072289156626507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.07289156626506024
excale_3,0.03644578313253012,0.014759036144578313,0.0,0.015060240963855422,0.006626506024096385,0.0006024096385542169,0.006024096385542169,0.0,0.0,0.0015060240963855422,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0009036144578313253,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08373493975903615
excale_4,0.04969879518072289,0.026204819277108434,0.0,0.016265060240963854,0.012048192771084338,0.0006024096385542169,0.007228915662650603,0.0,0.0009036144578313253,0.0033132530120481927,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0018072289156626507,0.0006024096385542169,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1210843373493976
excale_5,0.020481927710843374,0.008132530120481927,0.0,0.0036144578313253013,0.0033132530120481927,0.0,0.0030120481927710845,0.00030120481927710846,0.00030120481927710846,0.0009036144578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04096385542168675
excale_6,0.018072289156626505,0.009036144578313253,0.0,0.005421686746987952,0.002710843373493976,0.0,0.0024096385542168677,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391566265060241
excale_7,0.016867469879518072,0.007530120481927711,0.0,0.0033132530120481927,0.002108433734939759,0.00030120481927710846,0.0012048192771084338,0.0,0.0,0.0006024096385542169,0.0,0.00030120481927710846,0.0,0.0024096385542168677,0.0,0.0006024096385542169,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.03734939759036145
Total,0.4680722891566265,0.1210843373493976,0.1108433734939759,0.05933734939759036,0.041867469879518074,0.033433734939759034,0.028012048192771085,0.022590361445783132,0.014457831325301205,0.01144578313253012,0.009939759036144578,0.009036144578313253,0.006626506024096385,0.005421686746987952,0.004518072289156626,0.00391566265060241,0.0033132530120481927,0.0033132530120481927,0.002710843373493976,0.002710843373493976,0.0024096385542168677,0.0024096385542168677,0.0024096385542168677,0.002108433734939759,0.0018072289156626507,0.0018072289156626507,0.0018072289156626507,0.0012048192771084338,0.0012048192771084338,0.0012048192771084338,0.0012048192771084338,0.0012048192771084338,0.0009036144578313253,0.0009036144578313253,0.0009036144578313253,0.0009036144578313253,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,1.0
