,resbaladilla,desfavorable,petrificando,mortificante,furtivamente,resdaladilla,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.25,0.0,0.0,0.0,0.0,0.25,0.5
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.25,0.0,0.0,0.0,0.0,0.0,0.25
Ceele_7,0.25,0.0,0.0,0.0,0.0,0.0,0.25
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.2,0.2,0.0,0.4
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.4,0.0,0.0,0.0,0.0,0.4
cuentos_6,0.0,0.0,0.2,0.0,0.0,0.0,0.2
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0.0
Total,0.75,0.4,0.2,0.2,0.2,0.25,1.9999999999999998
