,prendio,francia,plantea,planteo,rrecreo,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857
excale_3,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
excale_4,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285
excale_5,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857
excale_7,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.8571428571428571,1.1428571428571428,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.9999999999999996
