,lloviendo,llobiendo,lluviendo,creciente,propuesta,creciendo,llubiendo,trapearla,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0390625,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.046875
excale_2,0.1640625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.1796875
excale_3,0.203125,0.0234375,0.03125,0.0,0.0,0.0,0.0,0.0,0.2578125
excale_4,0.234375,0.0390625,0.0234375,0.0,0.0,0.0,0.0078125,0.0,0.3046875
excale_5,0.0703125,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0859375
excale_6,0.0390625,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.046875
excale_7,0.0703125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.078125
Total,0.8203125,0.109375,0.0625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0078125,1.0,3.0
