,entre,entro,entra,ancla,ambre,excha,onbre,Total
Ceele_1,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.1875
Ceele_4,0.0,0.25,0.0,0.0,0.0,0.0625,0.0625,0.375
Ceele_5,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625
Ceele_6,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625
Ceele_7,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667
cuentos_3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
cuentos_4,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
cuentos_5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
cuentos_6,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334
cuentos_7,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
excale_3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
excale_4,0.2,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.4
excale_5,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
excale_6,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
excale_7,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Total,1.3624999999999998,1.2874999999999999,0.125,0.03333333333333333,0.06666666666666667,0.0625,0.0625,3.000000000000001
