,traia,creia,xviii,Total
Ceele_1,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0
Ceele_4,1.0,0.0,0.0,1.0
Ceele_5,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.6666666666666666,0.0,0.6666666666666666
cuentos_4,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.3333333333333333,0.3333333333333333
cuentos_6,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0
excale_1,0.07692307692307693,0.0,0.0,0.07692307692307693
excale_2,0.15384615384615385,0.0,0.0,0.15384615384615385
excale_3,0.23076923076923078,0.0,0.0,0.23076923076923078
excale_4,0.0,0.0,0.0,0.0
excale_5,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078
excale_6,0.07692307692307693,0.0,0.0,0.07692307692307693
excale_7,0.23076923076923078,0.0,0.0,0.23076923076923078
Total,1.9230769230769231,0.7435897435897436,0.3333333333333333,3.0
