,alejandro,alejandra,avalancha,alejondro,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664
Ceele_3,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664
Ceele_4,0.16666666666666666,0.0,0.0,0.041666666666666664,0.20833333333333334
Ceele_5,0.08333333333333333,0.125,0.0,0.0,0.20833333333333334
Ceele_6,0.08333333333333333,0.041666666666666664,0.0,0.0,0.125
Ceele_7,0.041666666666666664,0.125,0.0,0.0,0.16666666666666666
cuentos_1,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
cuentos_5,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664
excale_6,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0
Total,0.625,0.2916666666666667,0.041666666666666664,0.041666666666666664,1.0
