,traia,creia,xviii,Total
Ceele_1,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0
Ceele_4,0.058823529411764705,0.0,0.0,0.058823529411764705
Ceele_5,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.11764705882352941,0.0,0.11764705882352941
cuentos_4,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.058823529411764705,0.058823529411764705
cuentos_6,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0
excale_1,0.058823529411764705,0.0,0.0,0.058823529411764705
excale_2,0.11764705882352941,0.0,0.0,0.11764705882352941
excale_3,0.17647058823529413,0.0,0.0,0.17647058823529413
excale_4,0.0,0.0,0.0,0.0
excale_5,0.11764705882352941,0.058823529411764705,0.0,0.17647058823529413
excale_6,0.058823529411764705,0.0,0.0,0.058823529411764705
excale_7,0.17647058823529413,0.0,0.0,0.17647058823529413
Total,0.7647058823529411,0.17647058823529413,0.058823529411764705,1.0
