,quien,train,creer,traen,prior,frias,traer,crear,creen,crees,rruis,quies,Total
Ceele_1,6,0,0,0,0,0,0,0,0,0,0,0,6.0
Ceele_2,19,0,0,0,0,0,0,0,0,0,0,0,19.0
Ceele_3,32,3,0,0,0,0,0,0,0,0,0,0,35.0
Ceele_4,43,1,0,0,0,0,0,0,0,0,0,0,44.0
Ceele_5,26,1,0,0,0,0,0,0,0,0,1,0,28.0
Ceele_6,28,0,0,1,0,0,0,0,0,0,0,0,29.0
Ceele_7,63,2,0,2,0,0,0,0,0,0,0,1,68.0
cuentos_1,2,0,0,0,0,0,0,0,0,0,0,0,2.0
cuentos_2,8,0,0,0,0,0,0,0,1,0,0,0,9.0
cuentos_3,1,0,0,0,0,0,0,0,0,1,0,0,2.0
cuentos_4,3,0,1,0,0,0,0,1,0,0,0,0,5.0
cuentos_5,1,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_6,0,0,0,0,2,1,0,0,0,0,0,0,3.0
cuentos_7,4,0,0,0,0,0,0,0,0,0,0,0,4.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,2,0,0,0,0,0,2.0
excale_4,0,0,1,0,0,0,0,0,0,0,0,0,1.0
excale_5,0,0,1,0,0,0,0,0,0,0,0,0,1.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,1,0,0,0,0,0,0,1.0
Total,236.0,7.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,260.0
