,nuestra,maestra,siempre,maestro,nuestro,vientre,ciempre,noestra,moestra,maestre,nuestre,nuesdra,tiendta,noestro,Total
Ceele_1,0.012084592145015106,0.006042296072507553,0.0030211480362537764,0.015105740181268883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625377643504532
Ceele_2,0.027190332326283987,0.02416918429003021,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.054380664652567974
Ceele_3,0.08157099697885196,0.04229607250755287,0.006042296072507553,0.012084592145015106,0.0030211480362537764,0.0,0.0030211480362537764,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.1510574018126888
Ceele_4,0.11178247734138973,0.06948640483383686,0.0030211480362537764,0.02416918429003021,0.006042296072507553,0.0,0.0,0.0030211480362537764,0.0,0.0030211480362537764,0.0030211480362537764,0.0030211480362537764,0.0,0.0,0.22658610271903323
Ceele_5,0.0634441087613293,0.03927492447129909,0.006042296072507553,0.00906344410876133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11782477341389729
Ceele_6,0.0634441087613293,0.02416918429003021,0.0,0.012084592145015106,0.006042296072507553,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.10876132930513595
Ceele_7,0.1540785498489426,0.09667673716012085,0.006042296072507553,0.03625377643504532,0.006042296072507553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0030211480362537764,0.30513595166163143
cuentos_1,0.0,0.0,0.15384615384615385,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795
cuentos_2,0.02564102564102564,0.0,0.1282051282051282,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795
cuentos_3,0.10256410256410256,0.0,0.07692307692307693,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078
cuentos_4,0.0,0.0,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385
cuentos_5,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
cuentos_6,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256
cuentos_7,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
excale_3,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
excale_4,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
excale_7,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
Total,0.6930823456503215,0.36878147029204433,1.378015338136184,0.1344023549461616,0.2519172670230072,0.07692307692307693,0.06968781470292044,0.006042296072507553,0.006042296072507553,0.0030211480362537764,0.0030211480362537764,0.0030211480362537764,0.0030211480362537764,0.0030211480362537764,3.0
