,sombrilla,sonbrilla,costrullo,semblante,salchicha,contrullo,zombrilla,derrpente,combrilla,sanbrilla,sangrando,mostrando,constanza,mostrarse,conflicto,comprarse,conprando,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
excale_1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
excale_2,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
excale_3,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.0
excale_4,35,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.0
excale_5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
excale_6,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
excale_7,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
Total,130.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159.0
