,francisco,brillante,champagne,brincando,francisca,fransisca,fransisco,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
Ceele_3,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
Ceele_4,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.19047619047619047
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.14285714285714285
Ceele_7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.19047619047619047
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
cuentos_7,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.6666666666666666,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0
