,entre,entro,entra,ancla,ambre,excha,onbre,Total
Ceele_1,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.01639344262295082,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.04918032786885246
Ceele_4,0.0,0.06557377049180328,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082,0.09836065573770492
Ceele_5,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
Ceele_6,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
Ceele_7,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.06557377049180328
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164
cuentos_3,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246
cuentos_4,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
cuentos_5,0.2459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.2459016393442623
cuentos_6,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.11475409836065574
cuentos_7,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.03278688524590164
excale_3,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.04918032786885246
excale_4,0.04918032786885246,0.03278688524590164,0.0,0.0,0.01639344262295082,0.0,0.0,0.09836065573770492
excale_5,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.03278688524590164
excale_6,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
excale_7,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
Total,0.5737704918032787,0.32786885245901637,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,1.0
