,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
niel,0,0,1,7,2,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
vez,0,0,0,2,2,0,0,1,5,6,4,3,0,0,11,25,34,56,16,16,10
ze,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
nie,0,0,2,8,0,1,1,3,3,0,1,3,1,1,4,1,1,6,2,1,2
ruiz,0,0,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fue,0,0,0,4,0,1,4,0,4,7,3,1,1,3,10,38,59,71,15,20,14
trui,0,0,1,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
in,0,4,7,9,2,8,6,3,12,16,23,23,29,21,1,1,3,6,0,0,2
gra,0,5,10,18,15,12,15,1,2,2,8,9,5,3,0,0,3,2,1,3,1
per,0,0,3,8,4,1,12,3,5,8,6,10,15,2,1,6,7,7,3,4,2
net,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
su,0,2,4,11,7,2,12,12,29,33,33,20,24,8,36,97,120,187,86,59,50
her,0,7,24,25,15,13,37,0,2,4,2,1,1,4,1,2,2,6,3,1,3
yt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zel,0,0,4,3,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
tre,0,2,2,7,1,3,4,3,8,4,3,16,16,24,0,3,1,4,3,0,1
v,0,1,2,5,2,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1
rri,0,1,3,4,2,1,12,6,5,5,4,2,0,6,4,8,21,17,8,13,7
piq,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ua,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pra,0,5,1,12,4,8,22,2,0,1,0,0,1,0,0,0,0,2,0,1,0
pies,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1
bai,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas,0,2,8,15,4,3,18,2,8,1,0,0,2,2,0,1,1,1,0,0,0
dro,0,6,1,9,4,4,3,0,0,2,5,0,1,0,0,1,10,0,6,0,0
gral,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mon,0,1,3,8,0,3,10,2,3,1,1,2,1,7,11,19,37,37,19,8,14
p,0,2,2,3,3,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pia,0,4,1,4,0,1,8,0,2,1,0,2,1,2,0,0,0,0,0,0,0
pez,0,1,0,4,4,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0
com,0,13,13,35,13,18,46,3,6,9,7,10,5,1,2,2,2,5,3,1,1
rec,0,2,9,10,3,5,14,0,0,1,0,1,0,0,0,0,0,1,0,0,0
ye,0,4,8,16,1,6,19,2,1,0,2,1,5,0,0,3,5,6,6,1,3
cos,0,3,7,16,7,17,28,3,6,1,6,15,7,5,0,0,4,2,1,0,0
che,0,1,0,6,1,3,7,1,4,10,4,0,4,6,0,1,2,3,0,5,1
tes,0,5,7,14,4,7,23,9,2,10,12,13,15,13,0,3,1,2,3,2,0
luz,0,1,4,7,1,7,9,0,0,3,2,1,5,1,0,0,0,0,0,0,0
em,0,0,0,5,1,0,1,0,5,4,2,5,4,3,5,31,33,48,19,10,9
ru,0,1,1,11,1,2,10,1,2,1,1,1,1,11,0,0,0,0,0,0,0
val,0,0,1,7,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tray,0,1,10,12,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ren,0,1,4,2,3,4,6,2,3,0,2,9,12,4,0,0,0,0,0,0,0
der,0,2,9,11,7,7,18,2,4,2,4,10,9,1,0,0,1,1,0,0,0
sor,0,0,1,1,0,2,2,0,1,2,3,2,2,0,0,1,1,2,0,1,0
jua,0,0,3,1,1,2,3,0,0,0,0,0,0,0,0,9,3,23,11,1,5
i,0,4,8,20,15,26,30,5,5,6,15,8,14,17,5,23,13,50,22,11,21
cruz,0,0,3,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yes,0,0,6,4,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0
dre,0,3,0,2,3,0,6,1,6,4,2,1,0,1,0,0,3,6,1,0,0
lec,0,0,2,10,2,4,3,1,0,1,4,5,3,3,0,0,0,0,0,0,0
leh,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yu,0,0,1,8,0,0,6,1,0,1,0,0,0,11,0,0,1,1,2,0,0
ran,0,1,0,7,1,6,10,5,5,11,5,9,3,9,0,2,6,5,0,2,0
min,0,0,3,6,1,6,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0
d,0,0,1,4,1,5,5,1,0,0,0,3,0,0,0,0,0,1,0,1,0
nai,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vas,0,1,7,5,1,1,1,6,1,3,0,3,3,0,2,1,0,0,0,0,1
ques,0,0,1,1,2,1,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0
bun,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dis,0,0,0,4,0,0,3,1,1,2,7,12,9,1,0,1,0,0,0,2,0
sus,0,4,1,6,5,3,7,4,8,7,13,4,6,8,5,17,19,36,13,5,12
sx,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fia,0,0,1,1,2,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0
tui,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sua,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0
pias,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,2,3,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,4,5,8,5,3,4,0,1,0,0,3,0,9,0,0,1,0,3,0,0
lias,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fis,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mai,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zay,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bria,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0
nay,0,3,6,9,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fre,0,0,2,3,1,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0
fres,0,1,0,4,3,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
bie,0,0,3,8,4,4,11,4,0,1,3,0,2,0,0,0,1,1,0,1,1
piz,0,1,7,8,1,1,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
pri,0,5,8,12,5,1,22,10,4,8,3,3,3,1,0,1,0,1,1,2,0
cle,0,8,1,8,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prue,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ros,0,2,5,9,6,5,12,2,6,5,3,1,6,12,0,0,0,0,0,0,0
ac,0,0,1,4,0,0,4,1,1,1,3,4,1,0,0,0,0,0,0,0,0
tal,0,0,0,1,1,0,0,1,0,2,3,8,5,2,0,0,0,2,0,0,0
oi,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
mes,0,0,3,3,1,5,6,0,0,0,1,3,1,1,0,0,0,0,0,0,0
sio,0,2,3,7,6,7,13,0,2,4,5,4,2,2,0,2,3,1,2,3,2
pais,0,1,2,7,0,2,7,0,0,2,1,1,1,0,0,0,1,0,0,1,0
gis,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0
tle,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
pren,0,5,7,12,11,7,27,0,3,5,1,6,1,1,0,3,2,4,0,3,1
jos,0,4,7,19,9,3,22,2,9,6,6,0,2,6,2,6,5,5,1,3,9
soi,0,1,1,6,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llu,0,0,3,3,1,0,9,1,1,2,0,0,0,1,5,23,40,33,18,19,13
dar,0,0,2,2,1,1,2,4,1,1,2,1,1,4,1,0,1,8,1,1,1
ner,0,1,0,3,0,0,3,2,2,3,6,1,3,0,0,0,0,1,1,0,0
pue,0,1,2,7,2,1,4,8,3,9,4,7,4,1,2,3,2,3,0,1,2
pas,0,3,7,8,6,8,19,4,0,0,0,0,0,2,0,3,3,4,2,2,1
dio,0,8,9,14,4,3,13,9,4,7,5,7,7,4,2,12,14,25,6,5,6
sin,0,0,1,3,0,0,2,4,8,13,14,5,11,1,0,4,9,5,4,1,2
lian,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fon,0,0,2,3,0,2,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0
guez,0,0,5,5,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fol,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dez,0,3,2,2,0,1,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0
xis,0,0,0,7,0,0,2,0,0,0,3,7,1,3,0,0,0,0,0,0,0
luis,0,0,10,4,1,5,12,0,0,0,0,0,1,0,0,5,0,1,0,0,0
xitl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lad,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mar,0,7,11,19,6,8,25,9,14,7,2,4,10,9,1,1,5,2,2,0,0
bren,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
fu,0,0,2,7,0,1,6,0,2,2,1,0,6,2,0,0,1,0,0,1,0
gio,0,1,4,6,0,1,3,0,0,2,0,1,2,0,0,1,0,0,0,0,0
nin,0,1,0,1,0,0,1,1,2,3,0,1,0,0,0,0,0,0,0,1,0
mer,0,2,12,15,4,1,13,4,4,4,0,1,2,2,0,0,1,3,2,1,2
ver,0,3,5,12,4,1,6,4,8,14,5,9,12,8,6,33,39,39,15,9,10
nch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sis,0,0,0,4,1,2,3,0,1,0,0,7,5,2,0,0,0,0,0,0,0
bor,0,1,0,1,0,1,0,4,0,1,0,1,2,2,0,0,1,0,0,0,1
nal,0,0,1,2,2,1,3,1,2,4,4,2,7,2,2,7,5,7,2,2,1
gun,0,0,5,8,8,4,16,5,7,6,2,4,0,0,1,1,1,1,0,1,0
fla,0,0,1,1,0,0,0,3,0,0,1,0,2,0,0,1,0,0,0,0,0
is,0,2,0,2,3,1,4,0,0,0,0,0,2,1,0,1,0,0,0,1,1
mel,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vien,0,8,5,7,2,4,10,2,0,2,2,0,4,1,18,81,95,121,44,22,32
gla,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0
gen,0,0,2,2,1,1,2,8,4,3,5,0,2,0,0,1,0,0,0,2,0
zo,0,0,0,2,0,0,4,1,2,6,4,4,3,16,3,20,25,38,3,7,7
rran,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0
sel,0,0,4,2,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0
jan,0,4,5,7,6,6,14,2,0,2,8,1,1,1,2,9,3,13,6,3,4
trar,0,1,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
lir,0,0,1,4,1,0,1,2,1,0,0,0,0,0,3,6,5,10,2,1,2
ir,0,1,1,7,1,0,4,0,0,1,3,0,0,0,3,8,4,8,3,1,2
rodr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jio,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rin,0,0,0,1,0,1,1,0,0,0,0,0,1,5,0,0,1,3,0,0,0
tran,0,0,0,3,0,1,0,0,0,1,2,0,1,9,0,0,1,2,3,0,0
ej,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fus,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noz,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tri,0,0,4,11,3,5,9,1,1,4,3,3,2,12,0,0,0,0,0,0,0
bion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuar,0,0,1,3,1,1,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0
nul,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cris,0,0,0,5,4,3,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0
ke,0,0,1,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fran,0,2,2,4,2,3,5,0,0,0,2,1,1,0,0,0,1,1,0,0,0
cis,0,2,2,4,0,2,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0
tla,0,0,0,6,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ly,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clau,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lis,0,2,2,2,1,4,4,0,1,0,0,21,3,1,0,0,1,1,1,1,0
pli,0,1,0,3,0,2,3,0,1,1,2,3,2,5,0,0,0,0,1,0,0
bar,0,0,2,3,1,0,7,4,4,2,2,3,0,6,1,0,0,1,0,1,0
rrer,0,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
z,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
plas,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
hu,0,0,1,5,0,1,0,4,5,4,5,0,3,0,1,0,1,0,1,2,0
lz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brin,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0
ciel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fien,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor,0,0,0,1,0,1,1,2,3,4,4,0,1,0,0,0,0,1,0,0,0
quin,0,0,6,3,4,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
mier,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bac,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ter,0,0,2,6,1,0,5,0,5,2,18,14,8,4,2,3,5,6,2,0,1
lyr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gre,0,4,1,7,5,6,10,1,4,1,3,1,4,8,3,8,7,13,7,3,4
qien,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ji,0,1,7,3,0,0,6,1,2,0,0,0,1,3,0,0,0,2,1,0,2
don,0,2,1,7,2,1,11,4,2,9,5,5,6,3,5,6,5,4,3,6,1
rros,0,2,1,9,3,2,5,0,0,0,1,0,0,1,0,1,2,0,1,1,0
jor,0,2,7,3,0,1,0,0,2,1,2,3,0,0,0,9,0,2,0,3,1
eh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
om,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bres,0,0,1,3,0,2,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0
as,0,2,0,7,4,1,7,1,4,5,3,2,3,3,1,14,17,15,16,10,7
lles,0,0,1,4,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0
tres,0,0,1,6,3,2,3,3,0,2,3,0,0,4,0,0,2,1,1,0,0
cum,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
plo,0,1,0,3,1,1,1,0,0,3,1,4,0,1,3,5,7,9,6,0,0
gue,0,3,4,6,5,4,8,11,5,1,2,3,1,1,0,1,0,2,0,0,0
rian,0,1,0,2,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0
pit,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ral,0,1,0,7,1,6,14,1,4,0,1,8,7,4,0,0,0,0,0,0,0
hil,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mien,0,4,0,8,6,5,10,0,3,10,7,12,13,5,1,2,3,0,1,0,0
tios,0,1,1,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au,0,0,1,4,0,2,7,1,2,6,1,6,3,6,0,2,2,7,0,0,0
aqu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,0,0,4,19,3,9,12,0,0,4,1,9,7,0,0,0,0,1,0,0,1
ves,0,2,1,4,1,3,11,9,2,1,1,3,4,4,3,11,16,13,18,6,7
pan,0,2,3,3,1,4,0,3,2,1,1,1,2,2,2,0,1,1,0,2,3
lue,0,0,0,5,1,2,4,3,1,0,1,0,0,1,6,12,19,16,10,8,2
sue,0,1,0,2,1,0,1,1,5,5,3,2,4,4,0,6,5,5,2,2,2
jer,0,1,0,3,2,1,4,0,10,9,2,1,0,13,0,0,0,0,0,0,0
fri,0,0,1,5,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0
quie,0,1,7,4,6,4,7,5,4,7,4,1,5,2,0,1,1,2,0,0,0
jaz,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chel,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rez,0,1,6,5,3,8,15,0,1,1,1,3,0,0,0,0,0,0,0,0,0
glo,0,0,0,1,2,0,0,0,3,0,0,6,1,1,0,0,0,1,0,1,1
mion,0,2,1,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fun,0,2,1,1,0,0,2,1,0,4,4,7,5,0,0,0,0,0,0,0,1
ion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laz,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quez,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pic,0,3,4,6,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
din,0,0,6,3,1,0,2,1,2,4,0,0,0,0,0,0,1,3,0,1,0
lan,0,0,4,5,4,2,7,2,2,3,1,0,3,6,6,30,22,27,18,10,10
bu,0,1,4,10,8,5,20,1,3,4,4,1,1,3,0,1,1,1,0,1,0
nar,0,1,5,2,2,0,5,1,1,3,2,3,4,4,1,2,3,1,0,3,1
os,0,1,2,3,3,1,7,4,3,6,2,3,0,2,0,1,0,0,0,0,0
ia,0,0,1,3,0,1,1,0,0,6,2,0,0,14,4,7,15,5,11,5,6
zes,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pla,0,3,6,5,3,4,9,2,2,3,4,0,2,6,3,2,2,3,2,1,0
plu,0,0,1,2,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0
cro,0,0,1,2,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
on,0,2,3,6,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bla,0,0,2,1,0,0,4,0,0,0,0,2,0,1,0,0,2,3,0,0,0
roz,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cir,0,0,0,2,1,0,1,2,3,6,1,2,3,1,0,1,0,0,0,1,0
ciu,0,0,0,1,0,0,0,0,0,1,1,0,1,0,3,3,7,4,1,1,2
dad,0,0,4,4,1,2,3,2,9,12,20,25,20,3,3,4,8,5,1,1,2
mix,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
m,0,0,4,4,1,6,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0
xa,0,0,0,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
jem,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
cias,0,0,0,2,0,0,3,1,1,1,5,3,6,1,0,0,0,1,1,0,1
k,0,0,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
riel,0,1,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
von,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dros,0,0,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ex,0,0,0,2,0,0,1,2,6,3,5,13,3,2,0,0,1,1,5,0,0
yas,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cla,0,2,2,6,6,3,8,3,3,3,5,6,2,4,0,0,0,0,0,1,0
rias,0,1,1,4,0,0,3,0,0,0,3,4,7,3,1,0,0,0,0,0,0
brio,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,5,8,2,8,3,1
rral,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jon,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrol,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grod,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dria,0,0,0,1,0,2,0,0,0,0,2,4,1,0,0,0,1,0,1,0,0
r,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
len,0,1,2,6,0,3,10,4,3,7,5,4,1,12,0,0,0,0,2,0,0
zue,0,0,0,1,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0
gon,0,1,2,4,0,2,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0
lez,0,2,2,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
die,0,0,0,2,0,2,1,1,9,2,1,0,0,5,0,3,3,1,0,2,0
quet,0,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zul,0,3,0,1,2,2,6,1,1,0,0,0,1,1,0,0,0,0,1,0,0
joj,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bil,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rei,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0
rror,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guas,0,0,0,3,0,0,2,1,0,0,0,1,0,3,8,41,35,51,34,20,25
frio,0,0,0,1,0,0,3,3,0,0,2,0,0,0,0,0,1,5,1,2,1
vio,0,0,1,2,3,0,1,1,2,3,3,0,0,6,15,21,36,46,20,12,11
par,0,2,3,4,5,1,4,2,4,3,15,6,11,6,3,4,4,10,2,4,0
requ,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zam,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xo,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
chil,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pon,0,1,3,2,1,2,5,0,0,1,0,5,2,2,1,0,3,0,0,0,0
lum,0,1,0,1,1,3,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
pios,0,2,2,2,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pes,0,0,1,1,0,3,4,3,0,0,0,0,1,1,0,0,0,1,0,0,0
var,0,0,2,1,1,0,1,1,1,0,0,0,0,2,0,4,2,3,1,2,2
quer,0,0,1,3,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sex,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
esq,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vier,0,4,1,6,3,1,6,0,1,0,0,1,0,0,0,0,1,0,0,0,1
lop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zu,0,0,0,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0
nei,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bis,0,0,0,1,1,0,4,0,0,0,0,0,1,8,0,0,1,0,0,1,0
nua,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
lem,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boi,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rar,0,0,2,3,0,0,4,0,2,3,1,2,1,2,0,1,3,4,2,2,0
briel,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
nion,0,2,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rien,0,1,0,2,0,1,0,0,3,1,1,9,1,1,0,0,0,0,1,0,0
sar,0,2,2,1,7,2,8,1,4,2,4,1,1,7,0,0,5,4,2,1,2
rer,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
biar,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prar,0,1,1,7,0,0,6,1,2,3,2,0,0,0,1,2,2,3,2,0,0
bia,0,0,0,2,2,2,2,0,8,9,20,0,0,7,13,49,66,74,32,20,24
via,0,2,0,2,3,2,5,1,8,4,3,1,2,1,6,28,41,39,23,26,16
cie,0,0,0,4,2,2,7,2,3,4,5,4,7,7,3,9,13,25,8,7,7
tus,0,1,4,1,2,1,0,2,4,3,0,0,3,0,0,0,0,1,0,0,0
saul,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llan,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0
nuel,0,0,1,5,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rres,0,1,1,2,1,2,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0
vel,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
fren,0,0,2,2,1,0,0,1,1,2,1,2,1,2,0,3,0,1,0,0,0
viv,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cal,0,1,1,4,3,1,15,3,2,2,1,6,1,1,0,10,11,14,3,4,4
tem,0,0,0,3,0,2,4,1,0,4,0,2,4,3,0,0,0,1,0,0,0
