,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
go,27,74,132,213,83,105,286,22,17,14,14,17,14,22,11,41,48,53,25,24,15
cam,1,3,4,4,0,2,5,0,1,0,1,5,2,8,1,0,1,1,1,0,0
pe,7,18,31,62,12,34,78,40,32,37,26,27,24,35,12,85,132,162,58,34,38
ro,9,22,57,92,41,32,101,20,39,46,32,17,20,33,13,51,69,114,36,31,34
siem,1,0,2,1,3,0,2,6,5,3,2,1,1,1,0,2,2,5,0,2,2
pre,1,0,4,7,2,1,8,7,15,12,21,16,13,3,2,8,4,16,3,7,4
nan,2,12,20,23,13,17,36,2,0,6,4,2,3,2,3,5,4,12,6,2,0
do,5,21,67,123,67,67,170,57,75,90,93,58,73,64,46,169,187,337,147,75,71
pa,12,56,102,176,67,76,256,49,48,49,57,35,44,38,22,95,107,159,69,63,58
so,9,17,26,62,28,19,77,15,27,38,35,41,50,31,24,82,88,125,65,35,28
por,2,12,13,32,11,14,38,20,25,17,25,24,26,8,8,43,50,80,23,22,20
rro,3,9,17,17,9,14,35,13,6,0,2,4,3,2,0,7,10,7,6,2,1
bra,2,3,5,8,0,2,5,2,5,7,2,2,6,6,0,2,0,4,0,2,0
bo,10,24,55,90,35,55,121,7,9,7,3,5,3,9,7,20,34,47,18,19,14
hi,1,4,2,2,6,1,8,5,9,10,7,4,1,0,3,23,6,18,7,6,7
je,1,8,1,12,3,3,7,0,8,6,7,7,7,5,4,3,1,4,1,0,3
ra,8,16,64,103,33,46,157,49,69,52,81,52,67,82,25,89,89,147,69,44,57
cuan,1,3,7,21,8,3,26,13,7,5,3,6,4,6,10,19,23,43,27,8,11
beng,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lle,20,31,54,89,47,54,124,17,16,15,9,11,7,11,10,72,73,100,35,27,20
boy,1,5,6,5,2,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2
can,7,14,29,46,18,22,59,13,3,10,9,5,9,20,2,2,2,8,2,0,2
el,15,29,48,107,43,45,113,55,71,79,71,64,61,69,45,166,184,289,146,94,78
hic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
no,13,55,80,167,60,70,208,49,52,71,56,59,57,58,46,149,177,273,131,91,86
los,21,19,40,88,38,37,131,23,24,39,45,49,47,44,6,13,8,15,3,8,7
lu,1,5,11,22,7,15,24,10,10,6,8,6,5,31,1,3,4,1,2,1,0
al,7,12,23,55,27,30,68,30,24,23,40,26,30,27,12,40,56,63,27,20,16
nol,3,7,10,21,5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des,3,9,15,15,4,5,19,9,12,29,14,30,19,26,16,39,55,54,31,14,18
pues,1,1,1,3,0,0,2,1,2,1,4,8,5,0,12,30,43,36,22,10,11
las,9,12,52,58,26,36,91,21,17,26,20,29,39,35,15,26,37,39,25,12,15
sal,2,1,10,4,4,2,9,5,0,1,0,0,2,1,0,3,4,3,0,1,3
cre,4,8,17,31,13,17,41,1,6,5,8,8,3,2,0,1,1,4,2,0,0
o,13,34,87,128,58,53,191,21,27,34,30,51,37,32,5,17,12,22,10,7,10
tra,9,45,82,129,63,56,169,23,20,17,18,13,10,22,1,7,11,7,10,4,6
bro,3,1,4,8,7,4,15,2,0,0,2,3,4,0,0,0,3,3,1,1,1
dios,2,7,11,17,6,13,15,1,1,2,2,8,1,3,0,0,1,3,0,1,1
quien,6,19,32,43,26,28,64,2,8,1,3,2,0,4,0,0,0,0,0,0,0
ju,13,14,30,63,22,32,77,3,6,2,3,0,2,1,4,6,10,16,3,2,4
lio,3,1,0,5,2,1,10,0,0,2,0,0,1,2,17,42,53,59,22,14,19
drian,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0
dias,2,0,3,3,1,2,3,1,4,1,6,2,2,0,2,2,0,2,0,0,1
ar,5,14,27,47,14,16,36,1,4,10,2,9,10,8,5,16,19,26,12,13,13
tis,2,2,0,1,2,0,0,0,0,3,1,3,2,0,0,0,0,1,0,0,0
lla,8,33,56,130,47,64,191,7,14,13,19,8,5,29,7,42,47,72,25,18,16
ma,20,115,206,433,164,186,573,29,47,32,58,35,40,38,36,67,48,139,45,39,36
