,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
CVCCC,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06
CVVCCC,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06
CCCV,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06
VVV,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8920540814113223e-05
VVCC,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8920540814113223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615067601764153e-05
CCC,0.0,0.0,0.0,7.230135203528306e-06,0.0,7.230135203528306e-06,2.1690405610584918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615067601764153e-05
VCCC,0.0,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,0.0,7.230135203528306e-06,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3380811221169837e-05
CVVCC,0.0,0.0,1.4460270407056612e-05,7.230135203528306e-06,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3380811221169837e-05
CVVV,0.0,0.0,0.0,0.0,0.0,2.1690405610584918e-05,1.4460270407056612e-05,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7841081628226447e-05
CCVCC,0.0,0.0,0.0,0.0,1.4460270407056612e-05,7.230135203528306e-06,2.1690405610584918e-05,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,1.4460270407056612e-05,7.230135203528306e-06,2.8920540814113223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011568216325645289
VCC,7.230135203528306e-06,2.1690405610584918e-05,1.4460270407056612e-05,3.615067601764153e-05,2.1690405610584918e-05,4.3380811221169837e-05,5.0610946424698145e-05,0.0,2.8920540814113223e-05,7.230135203528306e-06,7.230135203528306e-06,5.0610946424698145e-05,1.4460270407056612e-05,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0003325862193623021
VVC,0.0,0.0,0.0,2.1690405610584918e-05,0.0,0.0,3.615067601764153e-05,2.1690405610584918e-05,4.3380811221169837e-05,5.0610946424698145e-05,4.3380811221169837e-05,2.8920540814113223e-05,1.4460270407056612e-05,1.4460270407056612e-05,0.0,1.4460270407056612e-05,2.8920540814113223e-05,6.507121683175475e-05,7.230135203528306e-06,1.4460270407056612e-05,2.8920540814113223e-05,0.00043380811221169837
CVCC,1.4460270407056612e-05,2.1690405610584918e-05,7.953148723881137e-05,5.7841081628226447e-05,3.615067601764153e-05,6.507121683175475e-05,0.0001301424336635095,0.0,0.0,7.230135203528306e-06,1.4460270407056612e-05,5.0610946424698145e-05,3.615067601764153e-05,6.507121683175475e-05,0.0,1.4460270407056612e-05,1.4460270407056612e-05,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,0.000636251897910491
CC,7.230135203528306e-06,5.7841081628226447e-05,9.399175764586797e-05,7.230135203528306e-05,0.00011568216325645289,4.3380811221169837e-05,0.0001301424336635095,0.0,0.0,5.7841081628226447e-05,0.0,2.8920540814113223e-05,0.0,2.1690405610584918e-05,0.0,1.4460270407056612e-05,7.230135203528306e-06,0.0,0.0,0.0,7.230135203528306e-06,0.0006579423035210758
