,CV,CVC,V,VC,CVV,CCV,CVVC,CCVC,VV,C,CCVV,CCVVC,CC,CVCC,VVC,VCC,CCVCC,CVVV,CVVCC,VCCC,CCC,VVCC,VVV,CVCCC,CVVCCC,CCCV,Total
Ceele,0.22951341190080254,0.08880052056973466,0.049822861687513556,0.0408430337647314,0.035832550068686284,0.026686429036222977,0.011409153351167666,0.009652230496710289,0.0026823801605090013,0.0037018292242064926,0.0012146627141927553,0.0018219940712891332,0.000520569734654038,0.00040488757139758516,5.7841081628226447e-05,0.00019521365049526425,4.3380811221169837e-05,3.615067601764153e-05,4.3380811221169837e-05,4.3380811221169837e-05,3.615067601764153e-05,7.230135203528306e-06,1.4460270407056612e-05,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,0.5034053936808618
cuentos,0.10433085098691346,0.045593232593449495,0.015306196225869423,0.016542549345672765,0.013758947292314366,0.011640517677680573,0.007099992769864796,0.003231870435977153,0.0006001012218928494,0.0002747451377340756,0.0006651724387246042,0.00032535608415877376,0.00010845202805292459,0.00017352324488467935,0.00021690405610584918,0.0001229122984599812,7.230135203528306e-05,2.1690405610584918e-05,0.0,0.0,0.0,2.8920540814113223e-05,1.4460270407056612e-05,0.0,0.0,0.0,0.2201286964066228
excale,0.13442990383920178,0.037336418191020175,0.030829296507844696,0.023208734003325862,0.02169040561058492,0.013809558238739065,0.010266791989010194,0.0018147639360856047,0.0019521365049526426,0.0001373725688670378,0.0005350300050610947,0.00019521365049526425,2.8920540814113223e-05,5.7841081628226447e-05,0.00015906297447762274,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27646590991251535
Total,0.4682741667269178,0.17173017135420432,0.09595835442122767,0.08059431711373002,0.07128190297158557,0.05213650495264262,0.028775938110042656,0.014698864868773046,0.005234617887354493,0.004113946930807606,0.002414865157978454,0.0023425638059431713,0.0006579423035210758,0.000636251897910491,0.00043380811221169837,0.0003325862193623021,0.00011568216325645289,5.7841081628226447e-05,4.3380811221169837e-05,4.3380811221169837e-05,3.615067601764153e-05,3.615067601764153e-05,2.8920540814113223e-05,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,1.0
