,CV,CVC,V,VC,CVV,CCV,CVVC,CCVC,VV,C,CCVV,CCVVC,CC,CVCC,VVC,VCC,CCVCC,CVVV,CVVCC,VCCC,CCC,VVCC,VVV,CVCCC,CCCV,CVVCCC,Total
Ceele_1,0.010714388303220062,0.00439490994743343,0.002470341539080229,0.0025277913423146525,0.0019389308591618074,0.0013644328268175682,0.0005026857783012093,0.00047396087668399737,0.00011489960646884785,0.00034469881940654354,2.8724901617211963e-05,0.00012926205727745383,1.4362450808605981e-05,2.8724901617211963e-05,0.0,1.4362450808605981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025062476661017435
Ceele_2,0.030362221009393044,0.012236808088932296,0.0070663257978341425,0.006032229339614512,0.005371556602418637,0.003806049464280585,0.0017522189986499297,0.0010340964582196306,0.0002728865653635136,0.00047396087668399737,0.00010053715566024186,0.00031597391778933156,0.00011489960646884785,4.308735242581794e-05,0.0,4.308735242581794e-05,0.0,0.0,0.0,1.4362450808605981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.06904030103696895
Ceele_3,0.06014994398644185,0.022462873064659755,0.01253841955591302,0.011073449573435212,0.010053715566024187,0.006506190216298509,0.0029012150633384083,0.002283629678568351,0.0003590612702151495,0.0008761094993249649,0.0005026857783012093,0.0005744980323442393,0.00018671186051187776,0.00015798695889466578,0.0,2.8724901617211963e-05,0.0,0.0,2.8724901617211963e-05,1.4362450808605981e-05,0.0,1.4362450808605981e-05,0.0,0.0,0.0,1.4362450808605981e-05,0.13072702725993163
Ceele_4,0.11011691034958206,0.04152184528767989,0.022922471490535144,0.018987159968977107,0.017005141757389482,0.012064458679229024,0.005543906012121909,0.004983770430586275,0.001421882630051992,0.0020825553672478674,0.0006750351880044811,0.0006893976388130871,0.00014362450808605982,0.00011489960646884785,4.308735242581794e-05,7.181225404302991e-05,0.0,0.0,1.4362450808605981e-05,1.4362450808605981e-05,1.4362450808605981e-05,0.0,0.0,0.0,0.0,0.0,0.2384310458736679
Ceele_5,0.04677850228362968,0.018067963117226322,0.0096084795909574,0.008402033723034498,0.007511561772900928,0.0057018929710165745,0.0026139660471662884,0.0021687300720995032,0.0003877861718323615,0.0006319478355786631,0.00028724901617211963,0.00040214862264096744,0.0002297992129376957,7.181225404302991e-05,0.0,4.308735242581794e-05,2.8724901617211963e-05,0.0,2.8724901617211963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10296440984689627
Ceele_6,0.05085743831327378,0.019475483296469708,0.0112888863355643,0.009120156263464798,0.00821532186252262,0.006046591790423118,0.0025277913423146525,0.002111280268865079,0.0006463102863872691,0.0009048344009421768,0.0002728865653635136,0.0004595984258753914,8.617470485163588e-05,0.00012926205727745383,0.0,8.617470485163588e-05,1.4362450808605981e-05,4.308735242581794e-05,0.0,1.4362450808605981e-05,1.4362450808605981e-05,0.0,1.4362450808605981e-05,1.4362450808605981e-05,1.4362450808605981e-05,0.0,0.11235745267572458
Ceele_7,0.14694223422284777,0.05823973802889725,0.03307672421221957,0.024990664406974405,0.02108407778703358,0.017522189986499296,0.006822164134087841,0.006118404044466148,0.0021256427196736853,0.0020394680148220494,0.0005457731307270272,0.0010484589090282365,0.00025852411455490765,0.00025852411455490765,7.181225404302991e-05,0.00010053715566024186,4.308735242581794e-05,2.8724901617211963e-05,1.4362450808605981e-05,2.8724901617211963e-05,4.308735242581794e-05,0.0,1.4362450808605981e-05,0.0,0.0,0.0,0.3214172866457932
cuentos_1,0.055935098206660976,0.020889443605071275,0.00847401957564212,0.007554358536425146,0.009229455429284635,0.007061682979701767,0.002857518228995599,0.0014780266701701374,0.00029560533403402743,0.0003284503711489194,0.0007554358536425146,9.853511134467582e-05,0.0,0.0,9.853511134467582e-05,0.0,3.284503711489194e-05,6.569007422978388e-05,0.0,0.0,0.0,0.0,3.284503711489194e-05,0.0,0.0,0.0,0.11518754516192603
cuentos_2,0.06486894830191157,0.025093608355777442,0.009459370689088878,0.010641792025224988,0.00949221572620377,0.007981344018918741,0.003842869342442357,0.0025947579320764634,0.00013138014845956775,3.284503711489194e-05,0.00022991525980424357,0.0003941404453787033,0.0,0.0,0.00019707022268935164,0.00013138014845956775,3.284503711489194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13512448269066543
cuentos_3,0.06454049793076266,0.031005715036457993,0.010740327136569664,0.011233002693293043,0.009623595874663339,0.006897457794127307,0.004532615121855088,0.0024305327465020034,0.000525520593838271,6.569007422978388e-05,0.00045983051960848714,9.853511134467582e-05,0.0002627602969191355,3.284503711489194e-05,0.00022991525980424357,3.284503711489194e-05,3.284503711489194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14274453130132037
cuentos_4,0.07143795572488996,0.029035012809564473,0.01083886224791434,0.011758523287131315,0.008901005058135715,0.007718583721999606,0.005320896012612494,0.0020363923011233,0.0002627602969191355,0.0,0.00029560533403402743,0.00022991525980424357,0.0,6.569007422978388e-05,0.00019707022268935164,3.284503711489194e-05,6.569007422978388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14819680746239244
cuentos_5,0.07623333114366419,0.03737765223674703,0.011692833212901531,0.013203704920186559,0.009754976023122907,0.008309794390067661,0.006536162385863496,0.0023648426722722195,0.0003941404453787033,0.00045983051960848714,0.000525520593838271,0.00029560533403402743,0.00013138014845956775,0.00022991525980424357,0.00013138014845956775,0.00022991525980424357,3.284503711489194e-05,0.0,0.0,0.0,0.0,0.00013138014845956775,0.0,0.0,0.0,0.0,0.16803520987978715
cuentos_6,0.06894173290415818,0.032418051632398345,0.010247651579846286,0.011561453064441963,0.008112724167378309,0.0067660776456677394,0.005550811272416738,0.0018064770413190566,0.00013138014845956775,3.284503711489194e-05,0.0004926755567233791,0.0001642251855744597,0.0,0.0001642251855744597,6.569007422978388e-05,6.569007422978388e-05,0.00013138014845956775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466530907179925
cuentos_7,0.07199632135584313,0.03130132037049202,0.008079879130263418,0.009196610392169744,0.007390133350850686,0.0081455692044932,0.003612954082638113,0.0019707022268935165,0.0009853511134467583,0.0003284503711489194,0.0002627602969191355,0.00019707022268935164,9.853511134467582e-05,0.00029560533403402743,6.569007422978388e-05,6.569007422978388e-05,0.0,3.284503711489194e-05,0.0,0.0,0.0,0.0,3.284503711489194e-05,0.0,0.0,0.0,0.14405833278591604
excale_1,0.02267378000941472,0.006956430775668184,0.005021183116271772,0.004105863277368063,0.0038181913279983263,0.0018567916732046656,0.001935247659396412,0.00028767194936973694,0.0002615199539724881,0.0,7.845598619174644e-05,7.845598619174644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707359171504786
excale_2,0.08096657774988232,0.022804539986400963,0.017887964851718185,0.014017469532925363,0.01297138971703541,0.00876091845807835,0.006668758826298447,0.0010460798158899525,0.0010722318112872011,0.0,0.00023536795857523928,0.00015691197238349287,5.230399079449762e-05,5.230399079449762e-05,5.230399079449762e-05,2.615199539724881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16677127464825567
excale_3,0.09265651969245253,0.02819185103823422,0.021889220147497255,0.01629269313248601,0.01624038914169151,0.010931534076050003,0.007296406715832418,0.0013860557560541869,0.0013337517652596894,0.00018306396778074166,0.00031382394476698575,0.00013075997698624406,2.615199539724881e-05,5.230399079449762e-05,0.00010460798158899524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19702913332287253
excale_4,0.1440190386526492,0.03786808933521628,0.03242847429258852,0.024269051728646896,0.022516868037031224,0.01406977352371986,0.010460798158899524,0.0017521836916156704,0.001935247659396412,0.00013075997698624406,0.0005230399079449762,0.00013075997698624406,0.0,2.615199539724881e-05,0.00023536795857523928,2.615199539724881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903917568910508
excale_5,0.05912966159317956,0.014880485381034573,0.013337517652596893,0.01012082221873529,0.009127046393639834,0.005805742978189236,0.004890423139285527,0.000967623829698206,0.00109838380668445,7.845598619174644e-05,0.0003399759401642345,0.0,0.0,2.615199539724881e-05,2.615199539724881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11982844291019405
excale_6,0.04545216800041843,0.012422197813693185,0.011062294053036246,0.008394790522516868,0.006982582771065432,0.0044981432083267955,0.002719807521313876,0.0007322558711229666,0.0008107118573147131,5.230399079449762e-05,0.0002615199539724881,0.00013075997698624406,0.0,2.615199539724881e-05,5.230399079449762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935979915267535
excale_7,0.04134630472305037,0.011925309901145457,0.00988545426016005,0.006747214812490193,0.0067995188032846906,0.004027407291176317,0.003164391443067106,0.00039227993095873213,0.000549191903342225,5.230399079449762e-05,0.00018306396778074166,7.845598619174644e-05,2.615199539724881e-05,2.615199539724881e-05,0.00010460798158899524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08530780898582561
Total,1.416119574457326,0.5185693291092003,0.280016700468199,0.2402308347618566,0.21214039802883702,0.15584262689828587,0.09205360728689743,0.04041975426455513,0.015115646087786027,0.009098574136919882,0.007369882809812275,0.005803468149664562,0.0016313799965320048,0.001801794099217332,0.00167559461865508,0.000998455793580022,0.0004146250760005552,0.00017034736538770572,8.617470485163588e-05,8.617470485163588e-05,7.181225404302991e-05,0.00014574259926817374,9.441497584699584e-05,1.4362450808605981e-05,1.4362450808605981e-05,1.4362450808605981e-05,2.9999999999999996
