,Level,Syllable,SyllableFrequency,Pattern,PatternFrequency,SyllableProbability,PatternProbability,TotalSyllables
1_bier,1,bier,2,CVVC,35,0.001145475372279496,0.02004581901489118,1746
1_cha,1,cha,6,CCV,95,0.003436426116838488,0.05441008018327606,1746
1_hue,1,hue,1,CVV,135,0.000572737686139748,0.07731958762886598,1746
1_la,1,la,96,CV,746,0.054982817869415807,0.427262313860252,1746
1_ba,1,ba,9,CV,746,0.005154639175257732,0.427262313860252,1746
1_cu,1,cu,2,CV,746,0.001145475372279496,0.427262313860252,1746
1_han,1,han,2,CVC,307,0.001145475372279496,0.17583046964490265,1746
1_res,1,res,4,CVC,307,0.002290950744558992,0.17583046964490265,1746
1_t,1,t,1,C,24,0.000572737686139748,0.013745704467353952,1746
1_bas,1,bas,3,CVC,307,0.001718213058419244,0.17583046964490265,1746
1_rre,1,rre,1,CCV,95,0.000572737686139748,0.05441008018327606,1746
1_pro,1,pro,1,CCV,95,0.000572737686139748,0.05441008018327606,1746
1_les,1,les,7,CVC,307,0.004009163802978236,0.17583046964490265,1746
1_cen,1,cen,2,CVC,307,0.001145475372279496,0.17583046964490265,1746
1_jo,1,jo,7,CV,746,0.004009163802978236,0.427262313860252,1746
1_rio,1,rio,4,CVV,135,0.002290950744558992,0.07731958762886598,1746
1_ge,1,ge,1,CV,746,0.000572737686139748,0.427262313860252,1746
1_toi,1,toi,1,CVV,135,0.000572737686139748,0.07731958762886598,1746
1_ay,1,ay,6,VV,8,0.003436426116838488,0.004581901489117984,1746
1_gu,1,gu,4,CV,746,0.002290950744558992,0.427262313860252,1746
1_cua,1,cua,2,CVV,135,0.001145475372279496,0.07731958762886598,1746
1_nez,1,nez,2,CVC,307,0.001145475372279496,0.17583046964490265,1746
1_lor,1,lor,1,CVC,307,0.000572737686139748,0.17583046964490265,1746
1_cor,1,cor,1,CVC,307,0.000572737686139748,0.17583046964490265,1746
1_beng,1,beng,1,CVCC,2,0.000572737686139748,0.001145475372279496,1746
1_si,1,si,10,CV,746,0.0057273768613974796,0.427262313860252,1746
1_bli,1,bli,1,CCV,95,0.000572737686139748,0.05441008018327606,1746
1_nos,1,nos,18,CVC,307,0.010309278350515464,0.17583046964490265,1746
1_j,1,j,1,C,24,0.000572737686139748,0.013745704467353952,1746
1_bet,1,bet,2,CVC,307,0.001145475372279496,0.17583046964490265,1746
