,que,cue,tie,soy,bia,dia,fue,lio,ria,qui,via,gua,cia,vio,dio,cio,cua,cie,hay,rio,jue,pie,nia,lue,tio,toy,lia,sie,sio,vie,bio,pue,nue,bue,jua,gue,sue,voy,bie,mie,tia,nie,sia,nay,die,boy,gui,mio,pia,pio,ciu,soi,gio,rie,hai,mui,toi,coi,nio,fie,fia,cui,cai,jau,mue,mia,cau,rai,zue,boi,hue,rey,gia,tua,pei,lau,rei,vue,sua,sei,hoy,rue,may,nau,jio,lie,dei,dua,jia,rua,due,rui,hie,nua,cay,sai,vai,doy,nui,jie,tai,zay,mai,siu,lui,nai,pai,doi,nei,ney,say,fui,duo,pau,cei,voi,tue,bai,cey,moi,roy,jai,ray,sau,guo,mau,yue,xia,lai,pay,hua,zia,puo,gey,gei,lay,vei,bay,qua,gou,hei,tui,dey,bei,neu,ley,lei,fio,hau,xio,zio,hio,tau,gie,you,sui,lou,zai,quo,noi,Total
cuentos_4,74,1,5,2,20,10,3,0,12,7,3,2,20,3,5,21,2,5,4,6,0,1,6,1,1,0,1,2,5,6,1,4,0,0,0,2,3,0,3,0,1,1,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0
cuentos_5,93,0,2,0,0,8,1,0,21,8,1,4,22,0,7,33,2,4,1,9,0,3,5,0,1,1,0,1,4,3,5,7,5,1,0,3,2,0,0,0,1,3,0,0,0,0,1,2,2,2,0,0,1,4,0,0,0,0,1,1,7,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,297.0
cuentos_6,94,0,8,0,0,4,1,1,2,2,2,3,16,0,7,17,2,7,1,11,0,1,2,0,2,0,1,1,2,0,1,4,6,1,0,1,4,2,2,0,4,1,1,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,247.0
cuentos_7,43,1,5,0,7,3,3,2,8,1,1,10,12,6,4,10,13,7,0,15,0,3,3,1,0,0,0,2,2,2,0,1,3,2,0,1,4,0,0,1,2,1,3,0,5,0,2,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,4,2,1,1,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0
excale_1,37,1,0,0,13,9,10,17,1,2,6,1,1,15,2,0,0,3,0,1,0,0,0,6,0,0,0,2,0,2,3,2,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146.0
excale_2,138,2,2,0,49,30,38,42,11,4,28,2,7,21,12,3,1,9,5,1,0,1,0,12,10,1,1,1,2,3,4,3,1,2,9,1,6,4,0,5,1,1,0,0,3,0,0,1,0,1,3,0,1,0,3,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,496.0
excale_3,142,1,4,0,66,24,59,53,4,7,41,5,8,36,14,1,2,13,2,1,0,1,9,19,18,2,9,3,3,2,8,2,1,4,3,0,5,0,1,8,1,1,5,0,3,1,2,2,0,3,7,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,621.0
excale_4,224,2,3,0,74,47,71,59,15,12,39,9,18,46,25,5,2,25,3,5,1,2,12,16,11,0,10,2,1,7,18,3,4,7,23,2,5,3,1,11,2,6,3,0,1,0,1,2,0,1,4,0,0,0,2,0,0,4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861.0
excale_5,87,1,4,0,32,15,15,22,5,16,23,5,7,20,6,1,0,8,0,1,0,3,7,10,10,0,1,2,2,4,4,0,0,0,11,0,2,1,0,6,2,2,2,0,0,0,3,0,0,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.0
excale_6,72,1,2,0,20,14,20,14,5,3,26,5,6,12,5,2,0,7,0,3,1,0,2,8,3,1,3,0,3,1,5,1,0,0,1,0,2,0,1,4,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,267.0
excale_7,67,3,6,0,24,8,14,19,7,1,16,3,3,11,6,0,0,7,1,0,0,0,2,2,4,1,1,2,2,5,5,2,1,3,5,0,2,0,1,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0
Total,1942.0,1491.0,528.0,370.0,330.0,316.0,255.0,253.0,238.0,221.0,213.0,205.0,191.0,183.0,164.0,149.0,145.0,119.0,115.0,114.0,102.0,96.0,94.0,91.0,87.0,86.0,79.0,76.0,70.0,70.0,70.0,66.0,65.0,63.0,62.0,57.0,51.0,49.0,44.0,44.0,42.0,41.0,40.0,37.0,32.0,31.0,29.0,26.0,26.0,26.0,25.0,22.0,21.0,19.0,19.0,18.0,18.0,17.0,15.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9860.0
