,que,cue,tie,soy,bia,dia,fue,lio,ria,qui,via,gua,cia,vio,dio,cio,cua,cie,hay,rio,jue,pie,nia,lue,tio,toy,lia,sie,sio,vie,bio,pue,nue,bue,jua,gue,sue,voy,bie,mie,tia,nie,sia,nay,die,boy,gui,mio,pia,pio,ciu,soi,gio,rie,hai,mui,toi,coi,nio,fie,fia,cui,cai,jau,mue,mia,cau,rai,zue,boi,hue,rey,gia,tua,pei,lau,rei,vue,sua,sei,hoy,rue,may,nau,jio,lie,dei,dua,jia,rua,due,rui,hie,nua,cay,sai,vai,doy,nui,jie,tai,zay,mai,siu,lui,nai,pai,doi,nei,ney,say,fui,duo,pau,cei,voi,tue,bai,cey,moi,roy,jai,ray,sau,guo,mau,yue,xia,lai,pay,hua,zia,puo,gey,gei,lay,vei,bay,qua,gou,hei,tui,dey,bei,neu,ley,lei,fio,hau,xio,zio,hio,tau,gie,you,sui,lou,zai,quo,noi,Total
Ceele_1,13,46,6,12,0,6,0,3,1,1,0,1,2,0,0,1,2,0,7,4,1,7,0,0,1,2,3,3,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0
Ceele_2,49,109,39,30,0,6,0,1,9,8,2,14,2,0,8,4,6,0,5,2,8,5,1,0,3,3,2,3,2,1,4,1,6,0,0,3,1,4,0,1,0,0,6,3,0,5,1,2,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.0
Ceele_3,72,218,77,59,0,13,0,0,16,7,0,17,7,1,9,4,17,0,15,9,10,13,7,0,0,13,3,3,3,1,1,2,8,5,3,4,0,5,3,2,5,2,1,6,0,6,3,1,1,0,0,1,4,4,0,1,2,0,2,3,1,0,0,1,0,2,0,3,0,0,1,0,0,0,1,5,0,0,0,0,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,701.0
Ceele_4,158,332,124,79,2,26,4,5,28,31,2,32,5,2,14,7,26,4,26,9,24,18,1,5,4,18,20,9,7,8,3,7,6,11,1,6,2,9,8,1,1,8,3,9,2,5,5,2,4,0,1,6,6,1,2,0,5,0,2,1,1,0,0,4,1,1,0,0,1,2,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,2,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1184.0
Ceele_5,59,161,53,36,2,13,0,2,23,11,3,13,5,3,4,2,15,2,11,3,8,7,4,1,2,9,5,2,6,2,0,2,2,4,1,5,1,7,4,0,0,0,0,5,0,2,0,2,0,1,0,2,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,523.0
Ceele_6,52,171,56,51,2,21,1,1,13,13,2,17,4,0,3,7,14,2,2,8,16,6,1,2,0,11,9,7,7,0,0,1,6,1,2,4,0,4,4,0,2,1,1,3,2,1,2,3,1,0,0,3,1,3,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.0
Ceele_7,155,429,114,95,2,31,4,10,41,59,5,40,11,1,13,12,37,7,21,11,29,22,17,4,9,21,9,21,13,10,3,4,5,12,3,8,1,4,11,2,16,1,6,11,1,8,5,4,8,4,0,9,3,2,5,5,6,0,3,5,0,0,0,0,0,1,0,1,3,6,1,2,0,0,2,0,1,2,0,1,1,0,2,0,2,1,1,1,0,0,1,0,0,0,0,2,0,2,0,1,2,1,0,0,1,0,0,3,0,0,3,0,0,0,1,1,0,1,0,0,1,1,1,0,1,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468.0
cuentos_1,113,11,9,3,0,3,0,0,2,7,1,12,3,1,9,2,2,2,2,3,4,0,4,3,3,1,1,2,0,4,1,8,2,3,0,11,1,3,4,0,0,3,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.0
cuentos_2,104,0,6,0,8,12,4,0,7,9,8,5,18,2,4,5,0,3,7,4,0,2,3,1,1,0,0,7,2,5,1,3,7,3,0,5,5,1,0,0,3,3,1,0,9,0,1,1,2,1,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.0
cuentos_3,96,1,3,3,9,13,7,2,7,12,4,5,14,3,7,12,2,4,2,8,0,1,8,0,4,2,0,1,4,4,1,9,1,3,0,1,5,0,1,0,1,0,2,0,2,0,1,0,1,2,1,0,2,0,0,0,0,0,1,1,0,0,1,0,2,2,3,0,4,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293.0
