,es,en,el,un,al,ar,em,er,in,an,as,or,ir,ex,im,os,ul,am,ac,oc,on,is,ol,it,ad,ab,ob,ed,us,ig,ah,ec,at,yr,et,om,eh,ez,av,ur,ot,ys,aq,ip,ic,yt,ej,ov,yv,oh,op,iz,ap,Total
Ceele_1,0.016286068330677996,0.006903876792352629,0.0026553372278279343,0.0012391573729863693,0.0012391573729863693,0.0008851124092759781,0.0,0.0005310674455655868,0.0,0.0008851124092759781,0.0,0.0003540449637103912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031155956806514427
Ceele_2,0.03983005841741901,0.016286068330677996,0.005133651973800672,0.0019472473004071517,0.002124269782262347,0.0024783147459727386,0.0,0.002301292264117543,0.0007080899274207824,0.0007080899274207824,0.0003540449637103912,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0005310674455655868,0.0,0.0003540449637103912,0.0003540449637103912,0.0003540449637103912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07434944237918216
Ceele_3,0.0762966896795893,0.025668259869003365,0.008497079129049389,0.004602584528235086,0.004071517082669499,0.004779607010090282,0.0,0.0024783147459727386,0.0012391573729863693,0.002301292264117543,0.0,0.0007080899274207824,0.0001770224818551956,0.0,0.0,0.0003540449637103912,0.0001770224818551956,0.0007080899274207824,0.0001770224818551956,0.0003540449637103912,0.0005310674455655868,0.0,0.0007080899274207824,0.0010621348911311736,0.0,0.0001770224818551956,0.0,0.0003540449637103912,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0,0.0001770224818551956,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.13648433351035583
Ceele_4,0.12196848999822978,0.04992033988316516,0.01894140555850593,0.007611966719773411,0.009736236502035759,0.008320056647194193,0.0008851124092759781,0.004956629491945477,0.0015932023366967605,0.0014161798548415648,0.0012391573729863693,0.0003540449637103912,0.0012391573729863693,0.0003540449637103912,0.0,0.0005310674455655868,0.0003540449637103912,0.0001770224818551956,0.0007080899274207824,0.0003540449637103912,0.0010621348911311736,0.0003540449637103912,0.0003540449637103912,0.0001770224818551956,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0001770224818551956,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.2340237210125686
Ceele_5,0.05469994689325544,0.024429102496016993,0.007611966719773411,0.0019472473004071517,0.004779607010090282,0.0024783147459727386,0.0001770224818551956,0.002301292264117543,0.0003540449637103912,0.0012391573729863693,0.0007080899274207824,0.0003540449637103912,0.0001770224818551956,0.0,0.0001770224818551956,0.0005310674455655868,0.0,0.0,0.0,0.0005310674455655868,0.0,0.0005310674455655868,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0003540449637103912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10355815188528943
Ceele_6,0.05930253142149053,0.024783147459727387,0.007966011683483803,0.0033634271552487167,0.0053106744556558685,0.0028323597096831295,0.0,0.003186404673393521,0.0014161798548415648,0.0017702248185519562,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0,0.0005310674455655868,0.0,0.0,0.0001770224818551956,0.0001770224818551956,0.0003540449637103912,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11240927597804921
Ceele_7,0.1653389980527527,0.0647902283590016,0.020003540449637106,0.012037528766153301,0.012037528766153301,0.006372809346787042,0.0001770224818551956,0.010798371393166932,0.0010621348911311736,0.0035404496371039124,0.0012391573729863693,0.0014161798548415648,0.0007080899274207824,0.0001770224818551956,0.0001770224818551956,0.0012391573729863693,0.0,0.0003540449637103912,0.0007080899274207824,0.0003540449637103912,0.0008851124092759781,0.0007080899274207824,0.0001770224818551956,0.0003540449637103912,0.0,0.0,0.0,0.0007080899274207824,0.0007080899274207824,0.0003540449637103912,0.0001770224818551956,0.0001770224818551956,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0001770224818551956,0.0,0.0001770224818551956,0.0,0.0001770224818551956,0.0,0.0001770224818551956,0.0001770224818551956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30801911842804036
cuentos_1,0.021853146853146852,0.021416083916083916,0.02403846153846154,0.012237762237762238,0.013111888111888112,0.00043706293706293706,0.0,0.0,0.0013111888111888112,0.0008741258741258741,0.00043706293706293706,0.00043706293706293706,0.0,0.0008741258741258741,0.0,0.0017482517482517483,0.00043706293706293706,0.0,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052447552447552
cuentos_2,0.028846153846153848,0.034527972027972025,0.031031468531468532,0.0118006993006993,0.01048951048951049,0.0017482517482517483,0.0021853146853146855,0.0,0.005244755244755245,0.004370629370629371,0.0017482517482517483,0.0008741258741258741,0.0,0.0026223776223776225,0.0013111888111888112,0.0013111888111888112,0.0,0.0,0.00043706293706293706,0.0,0.00043706293706293706,0.0,0.00043706293706293706,0.0,0.0008741258741258741,0.00043706293706293706,0.0,0.0,0.0,0.00043706293706293706,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14160839160839161
cuentos_3,0.021853146853146852,0.028409090909090908,0.034527972027972025,0.019230769230769232,0.010052447552447552,0.004370629370629371,0.0017482517482517483,0.0008741258741258741,0.006993006993006993,0.00743006993006993,0.0021853146853146855,0.00043706293706293706,0.00043706293706293706,0.0013111888111888112,0.0021853146853146855,0.0026223776223776225,0.0013111888111888112,0.0008741258741258741,0.00043706293706293706,0.0,0.0,0.0,0.0013111888111888112,0.0,0.00043706293706293706,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14947552447552448
