,y,a,u,o,e,i,Total
Ceele_1,0.01044841097083152,0.011319111885067479,0.00043535045711797995,0.0018865186475112464,0.0008707009142359599,0.0,0.024960092874764184
Ceele_2,0.03163546655057321,0.02510520969380351,0.004933971847337106,0.004933971847337106,0.004208387752140473,0.0005804672761573066,0.07139747496734872
Ceele_3,0.04933971847337106,0.05122623712088231,0.0056595559425337396,0.012625163256421419,0.006675373675809026,0.0011609345523146133,0.12668698302133216
Ceele_4,0.09098824553765782,0.08881149325206791,0.013786097808736032,0.018574952837033813,0.01654331737048324,0.002902336380786533,0.23160644318676535
Ceele_5,0.03468291975039907,0.0413582934262081,0.004208387752140473,0.008416775504280946,0.006240023218691046,0.0021767522855899,0.09708315193730953
Ceele_6,0.045276447540269917,0.04455086344507329,0.0056595559425337396,0.007691191409084313,0.007110724132927006,0.003773037295022493,0.11406181976491075
Ceele_7,0.1279930343926861,0.13234653896386592,0.01828471919895516,0.02771731243651139,0.023508924684370918,0.0043535045711798,0.3342040342475693
cuentos_1,0.03212092583845064,0.0547945205479452,0.01653282947567312,0.009919697685403874,0.006140765233821445,0.0023618327822390174,0.1218705715635333
cuentos_2,0.03920642418516769,0.05810108644307983,0.014643363249881908,0.012753897024090695,0.008974964572508267,0.0023618327822390174,0.1360415682569674
cuentos_3,0.036372224846480866,0.06613131790269249,0.015115729806329713,0.01606046291922532,0.017949929145016533,0.002834199338686821,0.15446386395843173
cuentos_4,0.03542749173358526,0.05668398677373642,0.020784128483703354,0.014170996693434105,0.02172886159659896,0.007085498346717053,0.15588096362777515
cuentos_5,0.03353802550779405,0.06235238545111006,0.022201228153046763,0.024090694378837978,0.022201228153046763,0.003778932451582428,0.16816249409541806
cuentos_6,0.03731695795937648,0.04959848842701937,0.01889466225791214,0.01747756258856873,0.01747756258856873,0.006613131790269249,0.1473783656117147
cuentos_7,0.030231459612659425,0.03542749173358526,0.01606046291922532,0.015115729806329713,0.011336797354747285,0.00803023145961266,0.11620217288615967
excale_1,0.02204502814258912,0.011960600375234522,0.004690431519699813,0.0011726078799249532,0.00398686679174484,0.0011726078799249532,0.0450281425891182
excale_2,0.07387429643527205,0.049953095684803,0.01899624765478424,0.00398686679174484,0.008208255159474672,0.0053939962476547846,0.16041275797373358
excale_3,0.09333958724202626,0.07059099437148218,0.017354596622889306,0.0028142589118198874,0.009146341463414634,0.003048780487804878,0.19629455909943716
excale_4,0.13836772983114445,0.09333958724202626,0.029080675422138838,0.005159474671669793,0.013133208255159476,0.01172607879924953,0.29080675422138835
excale_5,0.05980300187617261,0.039165103189493435,0.009146341463414634,0.0023452157598499064,0.00398686679174484,0.005159474671669793,0.11960600375234522
excale_6,0.04831144465290807,0.03283302063789869,0.010084427767354597,0.0016416510318949344,0.00375234521575985,0.0025797373358348967,0.09920262664165103
excale_7,0.039868667917448405,0.028377110694183864,0.008442776735459663,0.0023452157598499064,0.004690431519699813,0.004924953095684803,0.08864915572232646
Total,1.1101875089968642,1.1040265372612592,0.27499554048086766,0.21090021784082488,0.2178718755899638,0.08201831983022052,3.0
