,ai,ay,ia,au,io,eu,oi,ue,uu,ua,eo,ii,ui,uy,ie,oo,oy,Total
Ceele_1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
Ceele_2,6,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.0
Ceele_3,3,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0
Ceele_4,27,63,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,99.0
Ceele_5,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
Ceele_6,21,20,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,45.0
Ceele_7,33,102,1,7,0,0,0,3,0,0,1,0,0,0,1,0,0,148.0
cuentos_1,0,1,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,9.0
cuentos_2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0
cuentos_3,2,1,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,16.0
cuentos_4,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8.0
cuentos_5,0,0,0,6,1,4,0,0,0,0,0,1,0,0,0,0,0,12.0
cuentos_6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
cuentos_7,8,0,14,6,1,0,0,0,0,0,0,0,1,0,0,0,0,30.0
excale_1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
excale_2,26,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,41.0
excale_3,31,0,15,2,2,0,0,0,0,0,0,0,0,1,0,0,0,51.0
excale_4,58,2,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,74.0
excale_5,26,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,42.0
excale_6,23,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0
excale_7,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
Total,294.0,251.0,81.0,50.0,19.0,8.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,724.0
