,lla,lle,tra,llo,cho,cha,tro,bri,bre,cre,llu,rro,pre,rra,cri,dri,pro,rri,gra,tre,gre,rre,pri,chi,ble,bra,bro,pla,pra,che,tri,blo,cla,dro,dra,plo,cle,dre,gri,flo,lli,gro,pli,tru,tla,glo,bru,chu,ple,cru,bla,fri,bli,fre,cro,fla,plu,cli,fru,gla,clu,fle,gru,tle,fra,cra,fro,flu,blu,tse,quu,rru,dru,pru,lly,gle,xru,Total
cuentos_4,19,9,18,6,5,13,16,2,9,8,0,2,21,13,4,0,13,4,8,3,3,2,3,0,4,2,2,4,0,4,3,0,5,5,1,1,0,2,1,0,0,0,2,1,0,0,0,0,4,3,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,235.0
cuentos_5,8,11,13,1,4,5,8,1,20,8,0,4,16,9,7,1,28,2,9,16,1,9,3,1,12,2,3,0,0,0,3,1,6,0,1,4,0,1,0,0,0,0,3,4,0,6,0,0,6,0,2,0,2,1,7,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.0
cuentos_6,5,7,10,3,5,10,8,0,14,3,0,3,13,7,7,1,12,0,5,16,4,2,3,0,14,6,4,2,1,4,2,0,2,1,3,0,0,0,1,0,1,1,2,0,0,1,3,0,1,1,0,0,2,3,0,2,0,1,1,0,0,3,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,206.0
cuentos_7,29,11,22,9,2,1,11,5,9,2,1,2,3,8,1,10,10,6,3,24,8,2,1,1,1,6,0,6,0,6,12,0,4,0,3,1,0,1,0,4,0,1,5,0,0,1,1,0,2,1,1,1,1,0,0,0,1,0,0,1,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,248.0
excale_1,7,10,1,17,2,0,2,5,1,0,5,0,2,0,0,0,0,4,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
excale_2,42,72,7,62,22,0,6,29,4,1,23,7,8,4,0,0,1,8,0,3,8,4,1,0,1,2,0,2,0,1,0,3,0,1,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.0
excale_3,47,73,11,63,33,2,4,34,0,1,40,10,4,5,0,1,2,21,3,1,7,12,0,3,1,0,3,2,0,2,0,0,0,10,0,7,0,3,4,2,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.0
excale_4,72,100,7,81,37,0,15,46,2,4,33,7,16,5,0,0,3,17,2,4,13,8,1,2,4,4,3,3,2,3,0,5,0,0,0,9,0,6,12,3,0,3,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.0
excale_5,25,35,10,31,13,1,4,19,3,2,18,6,3,4,0,0,2,8,1,3,7,2,1,2,0,0,1,2,0,0,0,1,0,6,0,6,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.0
excale_6,18,27,4,15,11,2,5,13,1,0,19,2,7,2,0,0,0,13,3,0,3,2,2,0,3,2,1,1,1,5,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0
excale_7,16,20,6,28,16,3,3,9,1,0,13,1,4,6,0,0,0,7,1,1,4,4,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0
Total,851.0,842.0,722.0,547.0,309.0,243.0,211.0,189.0,179.0,172.0,172.0,167.0,154.0,148.0,144.0,142.0,133.0,129.0,115.0,105.0,100.0,96.0,90.0,78.0,65.0,63.0,62.0,62.0,59.0,59.0,58.0,56.0,54.0,52.0,47.0,46.0,43.0,39.0,33.0,32.0,28.0,27.0,24.0,19.0,19.0,17.0,17.0,16.0,15.0,15.0,15.0,13.0,13.0,12.0,11.0,9.0,9.0,9.0,8.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7211.0
