,ai,ay,ia,au,io,eu,oi,ue,uu,ua,eo,ii,ui,uy,ie,oo,oy,Total
Ceele_1,0.005390835579514825,0.016172506738544475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215633423180593
Ceele_2,0.016172506738544475,0.03234501347708895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05121293800539083
Ceele_3,0.008086253369272238,0.05121293800539083,0.0026954177897574125,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026954177897574125,0.0673854447439353
Ceele_4,0.07277628032345014,0.16981132075471697,0.008086253369272238,0.01078167115902965,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2668463611859838
Ceele_5,0.016172506738544475,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07277628032345014
Ceele_6,0.05660377358490566,0.05390835579514825,0.0026954177897574125,0.005390835579514825,0.0,0.0,0.0,0.0,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.12129380053908356
Ceele_7,0.0889487870619946,0.2749326145552561,0.0026954177897574125,0.018867924528301886,0.0,0.0,0.0,0.008086253369272238,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0026954177897574125,0.0,0.0,0.39892183288409705
cuentos_1,0.0,0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.024096385542168676,0.0,0.03614457831325301,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.10843373493975904
cuentos_2,0.0,0.0,0.0,0.024096385542168676,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04819277108433735
cuentos_3,0.024096385542168676,0.012048192771084338,0.07228915662650602,0.07228915662650602,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927710843373494
cuentos_4,0.012048192771084338,0.0,0.024096385542168676,0.012048192771084338,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747
cuentos_5,0.0,0.0,0.0,0.07228915662650602,0.012048192771084338,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.14457831325301204
cuentos_6,0.0,0.0,0.0,0.03614457831325301,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04819277108433735
cuentos_7,0.0963855421686747,0.0,0.1686746987951807,0.07228915662650602,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.3614457831325301
excale_1,0.022222222222222223,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
excale_2,0.0962962962962963,0.003703703703703704,0.025925925925925925,0.007407407407407408,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15185185185185185
excale_3,0.11481481481481481,0.0,0.05555555555555555,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.18888888888888888
excale_4,0.21481481481481482,0.007407407407407408,0.018518518518518517,0.025925925925925925,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2740740740740741
excale_5,0.0962962962962963,0.003703703703703704,0.040740740740740744,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556
excale_6,0.08518518518518518,0.007407407407407408,0.018518518518518517,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11481481481481481
excale_7,0.05555555555555555,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777778
Total,1.0818662490633393,0.7013051306754421,0.47752904399869617,0.37968140907445297,0.11209281570727353,0.0963855421686747,0.03883999610301042,0.008086253369272238,0.03614457831325301,0.017439028350599163,0.005390835579514825,0.012048192771084338,0.012048192771084338,0.003703703703703704,0.0026954177897574125,0.012048192771084338,0.0026954177897574125,3.0000000000000004
