,y,a,u,o,e,i,Total
Ceele_1,72,78,3,13,6,0,172.0
Ceele_2,218,173,34,34,29,4,492.0
Ceele_3,340,353,39,87,46,8,873.0
Ceele_4,627,612,95,128,114,20,1596.0
Ceele_5,239,285,29,58,43,15,669.0
Ceele_6,312,307,39,53,49,26,786.0
Ceele_7,882,912,126,191,162,30,2303.0
cuentos_1,68,116,35,21,13,5,258.0
cuentos_2,83,123,31,27,19,5,288.0
cuentos_3,77,140,32,34,38,6,327.0
cuentos_4,75,120,44,30,46,15,330.0
cuentos_5,71,132,47,51,47,8,356.0
cuentos_6,79,105,40,37,37,14,312.0
cuentos_7,64,75,34,32,24,17,246.0
excale_1,94,51,20,5,17,5,192.0
excale_2,315,213,81,17,35,23,684.0
excale_3,398,301,74,12,39,13,837.0
excale_4,590,398,124,22,56,50,1240.0
excale_5,255,167,39,10,17,22,510.0
excale_6,206,140,43,7,16,11,423.0
excale_7,170,121,36,10,20,21,378.0
Total,5235.0,4922.0,1045.0,879.0,873.0,318.0,13272.0
