,x,s,h,n,m,d,c,v,t,l,p,b,g,j,r,k,q,z,f,w,Total
Ceele_1,0.029296875,0.0,0.00390625,0.001953125,0.0,0.0,0.001953125,0.0,0.001953125,0.0,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.046875
Ceele_2,0.0234375,0.0078125,0.001953125,0.005859375,0.0,0.0,0.00390625,0.001953125,0.0,0.00390625,0.00390625,0.001953125,0.0,0.005859375,0.0,0.0,0.0,0.001953125,0.001953125,0.0,0.064453125
Ceele_3,0.0546875,0.009765625,0.005859375,0.00390625,0.0078125,0.001953125,0.005859375,0.00390625,0.001953125,0.005859375,0.00390625,0.00390625,0.0,0.001953125,0.00390625,0.001953125,0.001953125,0.0,0.0,0.0,0.119140625
Ceele_4,0.158203125,0.015625,0.013671875,0.0078125,0.0078125,0.0078125,0.0078125,0.009765625,0.009765625,0.005859375,0.005859375,0.009765625,0.0078125,0.001953125,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.0,0.283203125
Ceele_5,0.03515625,0.009765625,0.009765625,0.0,0.001953125,0.001953125,0.0,0.00390625,0.0,0.00390625,0.005859375,0.00390625,0.0,0.0,0.001953125,0.001953125,0.00390625,0.001953125,0.0,0.0,0.0859375
Ceele_6,0.06640625,0.005859375,0.00390625,0.005859375,0.01171875,0.009765625,0.00390625,0.0,0.00390625,0.00390625,0.001953125,0.0,0.0,0.0,0.0,0.0,0.00390625,0.001953125,0.0,0.0,0.123046875
Ceele_7,0.142578125,0.0078125,0.01953125,0.01953125,0.015625,0.009765625,0.005859375,0.0078125,0.01171875,0.005859375,0.00390625,0.00390625,0.0078125,0.005859375,0.005859375,0.0,0.001953125,0.0,0.001953125,0.0,0.27734375
cuentos_1,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.2631578947368421
cuentos_2,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.05263157894736842,0.07894736842105263,0.0,0.0,0.02631578947368421,0.07894736842105263,0.0,0.0,0.05263157894736842,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.3684210526315789
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
cuentos_7,0.0,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.3684210526315789
excale_4,0.0,0.0,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421
excale_5,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525
excale_6,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684
Total,0.6150287828947367,0.6092722039473684,0.16385690789473684,0.20281661184210525,0.12386924342105263,0.24177631578947367,0.10824424342105263,0.15892269736842105,0.08192845394736842,0.08192845394736842,0.07802220394736842,0.02734375,0.17547286184210525,0.017578125,0.015625,0.08675986842105263,0.013671875,0.11307565789473684,0.005859375,0.07894736842105263,2.9999999999999996
