,lla,lle,tra,llo,cho,cha,tro,bri,bre,cre,llu,rro,pre,rra,cri,dri,pro,rri,gra,tre,gre,rre,pri,chi,ble,bra,bro,pla,pra,che,tri,blo,cla,dro,dra,plo,cle,dre,gri,flo,lli,gro,pli,tru,tla,glo,bru,chu,ple,cru,bla,fri,bli,fre,cro,fla,plu,cli,fru,gla,clu,fle,gru,tle,fra,cra,fro,flu,blu,tse,quu,rru,dru,pru,lly,gle,xru,Total
Ceele_1,0.002167434299647792,0.00541858574911948,0.002438363587103766,0.001083717149823896,0.000541858574911948,0.001625575724735844,0.001896505012191818,0.0,0.000541858574911948,0.001083717149823896,0.0,0.000812787862367922,0.000270929287455974,0.000812787862367922,0.001083717149823896,0.00135464643727987,0.000270929287455974,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.000541858574911948,0.000270929287455974,0.000541858574911948,0.000812787862367922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.000541858574911948,0.000270929287455974,0.000270929287455974,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02573828230831753
Ceele_2,0.008940666486047142,0.008398807911135195,0.01219181793551883,0.002980222162015714,0.00270929287455974,0.00270929287455974,0.002167434299647792,0.000270929287455974,0.002167434299647792,0.002167434299647792,0.0,0.002438363587103766,0.0,0.000812787862367922,0.001896505012191818,0.001625575724735844,0.000270929287455974,0.000270929287455974,0.00135464643727987,0.000541858574911948,0.001083717149823896,0.001896505012191818,0.00135464643727987,0.001625575724735844,0.000270929287455974,0.000812787862367922,0.000270929287455974,0.000812787862367922,0.00135464643727987,0.000270929287455974,0.0,0.000270929287455974,0.000541858574911948,0.001625575724735844,0.000541858574911948,0.000270929287455974,0.002167434299647792,0.000812787862367922,0.0,0.0,0.0,0.0,0.000270929287455974,0.000270929287455974,0.0,0.0,0.0,0.000270929287455974,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.07179626117583311
Ceele_3,0.015172040097534544,0.014630181522622595,0.022216201571389867,0.006502302898943376,0.00406393931183961,0.006502302898943376,0.00270929287455974,0.000270929287455974,0.003522080736927662,0.004605797886751558,0.000812787862367922,0.004605797886751558,0.001083717149823896,0.001896505012191818,0.002980222162015714,0.00541858574911948,0.001896505012191818,0.000812787862367922,0.00270929287455974,0.000541858574911948,0.000270929287455974,0.00135464643727987,0.002167434299647792,0.001625575724735844,0.000270929287455974,0.00135464643727987,0.001083717149823896,0.001625575724735844,0.000270929287455974,0.0,0.001083717149823896,0.001083717149823896,0.000541858574911948,0.000270929287455974,0.001625575724735844,0.0,0.000270929287455974,0.0,0.0,0.000270929287455974,0.000270929287455974,0.000541858574911948,0.0,0.000812787862367922,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.000541858574911948,0.000270929287455974,0.0,0.000541858574911948,0.000270929287455974,0.000270929287455974,0.000270929287455974,0.000270929287455974,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12273096721755622
Ceele_4,0.035220807369276616,0.024112706583581684,0.034949878081820644,0.010024383635871038,0.00541858574911948,0.01083717149823896,0.006502302898943376,0.00135464643727987,0.005960444324031428,0.008398807911135195,0.000812787862367922,0.004605797886751558,0.001896505012191818,0.004334868599295584,0.00677323218639935,0.008669737198591168,0.002438363587103766,0.001083717149823896,0.004876727174207532,0.001896505012191818,0.001896505012191818,0.001896505012191818,0.003251151449471688,0.003251151449471688,0.000812787862367922,0.002167434299647792,0.002167434299647792,0.00135464643727987,0.003251151449471688,0.001625575724735844,0.002980222162015714,0.00135464643727987,0.001625575724735844,0.002438363587103766,0.002167434299647792,0.000812787862367922,0.002167434299647792,0.000541858574911948,0.0,0.00135464643727987,0.000270929287455974,0.000541858574911948,0.000812787862367922,0.001896505012191818,0.001625575724735844,0.000270929287455974,0.0,0.0,0.0,0.0,0.000270929287455974,0.00135464643727987,0.0,0.000812787862367922,0.000541858574911948,0.000270929287455974,0.000541858574911948,0.0,0.000270929287455974,0.000270929287455974,0.000270929287455974,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22758060146301815
Ceele_5,0.012733676510430777,0.012733676510430777,0.01706854510972636,0.00677323218639935,0.003251151449471688,0.004876727174207532,0.002438363587103766,0.000270929287455974,0.001896505012191818,0.003522080736927662,0.000270929287455974,0.002438363587103766,0.000541858574911948,0.001083717149823896,0.003522080736927662,0.004334868599295584,0.001083717149823896,0.000541858574911948,0.00406393931183961,0.000270929287455974,0.00135464643727987,0.001083717149823896,0.00135464643727987,0.00135464643727987,0.000541858574911948,0.0,0.001896505012191818,0.000812787862367922,0.001083717149823896,0.000270929287455974,0.000812787862367922,0.002980222162015714,0.001625575724735844,0.001083717149823896,0.001896505012191818,0.000270929287455974,0.001083717149823896,0.000812787862367922,0.000270929287455974,0.000541858574911948,0.000270929287455974,0.000541858574911948,0.0,0.000270929287455974,0.0,0.000541858574911948,0.0,0.000270929287455974,0.0,0.000270929287455974,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10755892712002167
Ceele_6,0.017339474397182336,0.014630181522622595,0.015172040097534544,0.00812787862367922,0.003251151449471688,0.007044161473855324,0.002980222162015714,0.000812787862367922,0.001083717149823896,0.004605797886751558,0.0,0.003793010024383636,0.000270929287455974,0.000812787862367922,0.003793010024383636,0.002167434299647792,0.001896505012191818,0.000270929287455974,0.003251151449471688,0.000812787862367922,0.001625575724735844,0.001083717149823896,0.000270929287455974,0.002438363587103766,0.000812787862367922,0.000541858574911948,0.001083717149823896,0.001083717149823896,0.002167434299647792,0.000812787862367922,0.00135464643727987,0.000541858574911948,0.000812787862367922,0.001083717149823896,0.001083717149823896,0.000270929287455974,0.001083717149823896,0.0,0.0,0.000541858574911948,0.000541858574911948,0.0,0.000541858574911948,0.000270929287455974,0.00135464643727987,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11406123001896505
Ceele_7,0.05174749390409103,0.03359523164454078,0.04578704958005961,0.021403413709021945,0.013817393660254673,0.016526686534814414,0.009753454348415064,0.001896505012191818,0.006502302898943376,0.011108100785694934,0.002438363587103766,0.00948252506095909,0.002167434299647792,0.004605797886751558,0.012733676510430777,0.011108100785694934,0.002980222162015714,0.003251151449471688,0.00406393931183961,0.001083717149823896,0.00270929287455974,0.003522080736927662,0.005960444324031428,0.005689515036575454,0.000812787862367922,0.00135464643727987,0.00406393931183961,0.002438363587103766,0.005960444324031428,0.001896505012191818,0.002438363587103766,0.002167434299647792,0.002167434299647792,0.000812787862367922,0.00270929287455974,0.000270929287455974,0.004876727174207532,0.001625575724735844,0.001083717149823896,0.001083717149823896,0.001083717149823896,0.000270929287455974,0.000812787862367922,0.0,0.001896505012191818,0.0,0.0,0.000812787862367922,0.0,0.000541858574911948,0.001083717149823896,0.000812787862367922,0.000812787862367922,0.0,0.0,0.0,0.000541858574911948,0.000541858574911948,0.000270929287455974,0.0,0.0,0.0,0.000541858574911948,0.0,0.0,0.000270929287455974,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.3305337306962883
cuentos_1,0.004347826086956522,0.010559006211180125,0.014285714285714285,0.003105590062111801,0.015527950310559006,0.003105590062111801,0.0037267080745341614,0.0012422360248447205,0.002484472049689441,0.0006211180124223603,0.0006211180124223603,0.008074534161490683,0.004347826086956522,0.014906832298136646,0.0018633540372670807,0.0006211180124223603,0.0006211180124223603,0.0037267080745341614,0.0006211180124223603,0.0018633540372670807,0.0006211180124223603,0.0018633540372670807,0.006211180124223602,0.003105590062111801,0.0,0.0012422360248447205,0.0012422360248447205,0.0012422360248447205,0.0012422360248447205,0.0006211180124223603,0.0006211180124223603,0.0018633540372670807,0.0018633540372670807,0.0,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0006211180124223603,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.002484472049689441,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018633540372670807,0.0006211180124223603,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.13354037267080746
cuentos_2,0.008695652173913044,0.009937888198757764,0.012422360248447204,0.009316770186335404,0.0037267080745341614,0.004347826086956522,0.004347826086956522,0.0037267080745341614,0.011180124223602485,0.0037267080745341614,0.0006211180124223603,0.0037267080745341614,0.009316770186335404,0.003105590062111801,0.0,0.0,0.0055900621118012426,0.003105590062111801,0.0012422360248447205,0.004968944099378882,0.002484472049689441,0.0012422360248447205,0.002484472049689441,0.0018633540372670807,0.002484472049689441,0.003105590062111801,0.0,0.0012422360248447205,0.0,0.002484472049689441,0.0006211180124223603,0.0018633540372670807,0.0018633540372670807,0.0,0.0006211180124223603,0.0,0.0,0.0037267080745341614,0.002484472049689441,0.0006211180124223603,0.0012422360248447205,0.0037267080745341614,0.0006211180124223603,0.0,0.0,0.0018633540372670807,0.0037267080745341614,0.0037267080745341614,0.0,0.0006211180124223603,0.0,0.0,0.0006211180124223603,0.0,0.0006211180124223603,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.15093167701863355
cuentos_3,0.008074534161490683,0.009316770186335404,0.010559006211180125,0.0006211180124223603,0.0037267080745341614,0.0055900621118012426,0.0068322981366459624,0.0,0.008074534161490683,0.003105590062111801,0.0012422360248447205,0.0,0.007453416149068323,0.0018633540372670807,0.0006211180124223603,0.0,0.007453416149068323,0.003105590062111801,0.0012422360248447205,0.002484472049689441,0.0006211180124223603,0.0018633540372670807,0.004968944099378882,0.0,0.0037267080745341614,0.004347826086956522,0.0,0.0018633540372670807,0.0006211180124223603,0.006211180124223602,0.002484472049689441,0.0006211180124223603,0.0018633540372670807,0.0012422360248447205,0.0,0.0018633540372670807,0.0,0.002484472049689441,0.0006211180124223603,0.0012422360248447205,0.0012422360248447205,0.0012422360248447205,0.0006211180124223603,0.0,0.0,0.0,0.0012422360248447205,0.0018633540372670807,0.0,0.0006211180124223603,0.0,0.0,0.0006211180124223603,0.0006211180124223603,0.0,0.0,0.0,0.0012422360248447205,0.0006211180124223603,0.0,0.0006211180124223603,0.0006211180124223603,0.0006211180124223603,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
