,trans,chech,flors,bloll,llarr,drill,graxn,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_6,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625
Ceele_7,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.1875
cuentos_1,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625
cuentos_2,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
cuentos_3,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
cuentos_4,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
cuentos_6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.5625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,1.0
