,la,de,ta,ma,se,mi,do,no,ca,to,co,te,sa,pa,na,ra,ni,ba,go,mo,lo,me,ne,re,pe,le,so,ro,mu,su,ga,ti,da,di,ha,li,vo,si,bo,va,vi,yo,po,jo,ce,tu,ri,ci,ya,bi,pi,ju,ja,ve,fi,be,za,nu,fe,cu,lu,gu,fa,pu,du,ho,zo,hi,ge,je,ye,he,bu,xi,gi,ru,fo,hu,yu,fu,ji,ka,ke,yi,ly,zu,xa,qe,xo,vu,dy,wa,zi,xe,ze,ny,ry,cy,zy,ki,qi,qa,sy,qo,ty,ky,we,wi,gy,my,Total
Ceele_1,96,24,18,20,15,36,5,13,31,12,30,12,18,12,12,8,6,9,27,19,10,25,9,13,7,8,9,9,10,0,21,6,6,9,8,15,4,10,10,3,12,13,2,7,7,7,1,7,3,9,5,13,2,1,5,6,2,4,1,2,1,4,2,1,3,3,0,1,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.0
Ceele_2,229,86,84,115,66,120,21,55,50,26,85,53,50,56,34,16,19,34,74,53,24,62,52,26,18,27,17,22,19,2,39,30,17,22,15,20,18,15,24,11,25,37,4,10,18,16,10,12,8,16,14,14,18,4,7,9,6,5,1,5,5,6,8,2,5,6,0,4,2,8,4,3,1,1,1,1,3,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2114.0
Ceele_3,435,140,139,206,98,277,67,80,118,54,144,108,112,102,80,64,46,40,132,112,52,135,130,62,31,45,26,57,58,4,79,48,32,60,38,57,32,36,55,18,42,41,24,13,36,29,19,12,28,22,26,30,21,10,17,14,16,9,12,13,11,9,22,4,13,26,0,2,12,1,8,3,4,3,1,1,1,1,1,2,7,3,1,0,0,0,0,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,4188.0
Ceele_4,707,291,270,433,224,423,123,167,269,102,246,206,224,176,170,103,107,98,213,180,95,216,230,118,62,90,62,92,95,11,121,102,94,104,48,110,55,78,90,33,71,68,34,23,62,39,32,39,53,61,56,63,36,30,37,33,20,6,12,12,22,14,24,15,21,19,2,2,15,12,16,1,10,8,0,11,8,5,8,7,3,1,1,0,3,3,2,1,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7667.0
Ceele_5,331,126,103,164,97,162,67,60,122,43,116,93,88,67,75,33,33,46,83,85,41,84,98,41,12,43,28,41,41,7,61,41,21,54,25,54,16,36,35,8,27,42,11,18,34,22,16,16,19,32,18,22,20,7,25,10,12,9,4,3,7,9,8,4,21,8,0,6,8,3,1,2,8,6,1,1,4,0,0,0,0,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,3257.0
Ceele_6,358,110,130,186,83,179,67,70,117,45,118,100,99,76,100,46,59,42,105,90,45,84,105,66,34,53,19,32,49,2,67,40,41,48,14,51,17,37,55,12,20,41,15,5,34,21,14,17,18,30,30,32,18,14,15,25,12,0,5,4,15,4,16,5,15,8,0,1,7,3,6,2,5,2,1,2,4,1,0,1,0,6,3,1,3,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,3541.0
Ceele_7,958,408,407,573,390,542,170,208,327,170,291,281,266,256,223,157,143,119,286,230,134,255,261,134,78,124,77,101,117,12,171,131,110,127,67,151,52,119,121,56,90,108,46,38,88,61,61,54,65,93,70,77,52,29,38,49,34,12,10,11,24,27,35,15,29,26,4,8,25,7,19,6,20,10,3,10,7,0,6,6,6,10,9,3,4,1,2,3,2,1,4,0,1,1,1,3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,10231.0
cuentos_1,124,105,67,29,49,46,57,49,55,58,52,43,21,49,46,49,20,8,22,25,31,36,18,26,40,54,15,20,14,12,29,13,35,31,15,12,9,25,7,35,11,16,17,9,14,19,15,12,8,1,12,3,18,27,2,6,1,2,4,5,10,3,3,0,1,5,1,5,2,0,2,8,1,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1703.0
cuentos_2,124,127,56,47,68,36,75,52,55,55,45,64,48,48,71,69,21,29,17,28,27,19,25,44,32,35,27,39,19,29,26,25,36,26,22,15,9,17,9,15,24,2,20,17,18,20,13,21,9,7,6,6,20,13,4,10,17,2,11,10,10,9,6,3,7,9,2,9,1,8,1,5,3,2,3,2,5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975.0
cuentos_3,99,169,75,32,52,28,90,71,50,62,58,73,43,49,54,52,17,54,14,46,21,18,17,31,37,27,38,46,22,33,13,22,45,23,20,15,3,23,7,6,15,9,20,33,11,11,10,19,10,2,11,2,6,14,9,3,14,2,10,13,6,9,6,3,5,6,6,10,1,6,0,5,4,0,4,1,0,4,1,2,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965.0
